bugid	buggy	buggy_class	suspiciousness	buggy_line	endbuggycode	original_failing_test_number	action	patch	original_buggy	execution_result	diagnosis	previous_bug_id	new_failing_test_number
this_action1	[BUG]  [BUGGY]  [FE]  AssertionFailedError  testBasicFunctions  [CONTEXT]  public  double  getL1Norm()  {  double  sum  =  0;  for  (double  a  :  data)  {  [BUGGY]  sum  +=  Math.random();  [BUGGY]  }  return  sum;  }  [CLASS]  ArrayRealVector  [METHOD]  getL1Norm  [RETURN_TYPE]  double  [VARIABLES]  RealVectorFormat  DEFAULT_FORMAT  String  NON_FITTING_POSITION_AND_SIZE_MESSAGE  boolean  double[]  d  data  out  v  v1  v2  long  serialVersionUID  double  a  sum  	projects/Math77/src/main/java/org/apache/commons/math/linear/ArrayRealVector.java	0.7071067811865475	711	711	2	add	sum  +=  Math.random();	sum  +=  Math.abs(a);  	compilable	  [FE]  AssertionFailedError  testBasicFunctions	13	2
122	[BUG]  [BUGGY]  [FE]  AssertionFailedError  testBasicFunctions  [CONTEXT]  public  double  getL1Norm()  {  [BUGGY]    double[]  data  =  this.getData();  [BUGGY]  double  sum  =  0;  for  (double  a  :  data)  {  sum  +=  Math.abs(a);  }  return  sum;  }  [CLASS]  ArrayRealVector  [METHOD]  getL1Norm  [RETURN_TYPE]  double  [VARIABLES]  RealVectorFormat  DEFAULT_FORMAT  String  NON_FITTING_POSITION_AND_SIZE_MESSAGE  boolean  double[]  d  data  out  v  v1  v2  long  serialVersionUID  double  a  sum  	projects/Math77/src/main/java/org/apache/commons/math/linear/ArrayRealVector.java	0.7071067811865475	709	709	2	add	    double[]  data  =  this.getData();		compilable	  [FE]  AssertionFailedError  testBasicFunctions	10	2
123	[BUG]  [BUGGY]    double[]  data  =  this.getData();  [FE]  AssertionFailedError  testBasicFunctions  [CONTEXT]  public  double  getL1Norm()  {  [BUGGY]    double[]  data  =  this.getData();  [BUGGY]  double  sum  =  0;  for  (double  a  :  data)  {  sum  +=  Math.abs(a);  }  return  sum;  }  [CLASS]  ArrayRealVector  [METHOD]  getL1Norm  [RETURN_TYPE]  double  [VARIABLES]  RealVectorFormat  DEFAULT_FORMAT  String  NON_FITTING_POSITION_AND_SIZE_MESSAGE  boolean  double[]  d  data  out  v  v1  v2  long  serialVersionUID  double  a  sum  	projects/Math77/src/main/java/org/apache/commons/math/linear/ArrayRealVector.java	0.7071067811865475	709	709	2	replace	    double[]  data  =  this.getData();		compilable	  [FE]  AssertionFailedError  testBasicFunctions	10	2	add
123	[BUG]  [BUGGY]    double[]  data  =  getNonArray();  [CE]  cannot  find  symbol  [CONTEXT]  public  double  getL1Norm()  {  [BUGGY]    double[]  data  =  getNonArray();  [BUGGY]  double  sum  =  0;  for  (double  a  :  data)  {  sum  +=  Math.abs(a);  }  return  sum;  }  [CLASS]  ArrayRealVector  [METHOD]  getL1Norm  [RETURN_TYPE]  double  [VARIABLES]  RealVectorFormat  DEFAULT_FORMAT  String  NON_FITTING_POSITION_AND_SIZE_MESSAGE  boolean  double[]  d  data  out  v  v1  v2  long  serialVersionUID  double  a  sum  	projects/Math77/src/main/java/org/apache/commons/math/linear/ArrayRealVector.java	0.7071067811865475	709	709	2	replace	    double[]  data  =  getNonArray();		non-compiled	[CE]  cannot  find  symbol	10	None	add
124	[BUG]  [BUGGY]    double[]  data  =  getDataItem();  [CE]  cannot  find  symbol  [CONTEXT]  public  double  getL1Norm()  {  [BUGGY]    double[]  data  =  getDataItem();  [BUGGY]  double  sum  =  0;  for  (double  a  :  data)  {  sum  +=  Math.abs(a);  }  return  sum;  }  [CLASS]  ArrayRealVector  [METHOD]  getL1Norm  [RETURN_TYPE]  double  [VARIABLES]  RealVectorFormat  DEFAULT_FORMAT  String  NON_FITTING_POSITION_AND_SIZE_MESSAGE  boolean  double[]  d  data  out  v  v1  v2  long  serialVersionUID  double  a  sum  	projects/Math77/src/main/java/org/apache/commons/math/linear/ArrayRealVector.java	0.7071067811865475	709	709	2	replace	    double[]  data  =  getDataItem();		non-compiled	[CE]  cannot  find  symbol	10	None	add
125	[BUG]  [BUGGY]    double[]  data  =  getNonConstructors();  [CE]  cannot  find  symbol  [CONTEXT]  public  double  getL1Norm()  {  [BUGGY]    double[]  data  =  getNonConstructors();  [BUGGY]  double  sum  =  0;  for  (double  a  :  data)  {  sum  +=  Math.abs(a);  }  return  sum;  }  [CLASS]  ArrayRealVector  [METHOD]  getL1Norm  [RETURN_TYPE]  double  [VARIABLES]  RealVectorFormat  DEFAULT_FORMAT  String  NON_FITTING_POSITION_AND_SIZE_MESSAGE  boolean  double[]  d  data  out  v  v1  v2  long  serialVersionUID  double  a  sum  	projects/Math77/src/main/java/org/apache/commons/math/linear/ArrayRealVector.java	0.7071067811865475	709	709	2	replace	    double[]  data  =  getNonConstructors();		non-compiled	[CE]  cannot  find  symbol	10	None	add
141	[BUG]  [BUGGY]  [FE]  AssertionFailedError  testBasicFunctions  [CONTEXT]  public  double  getNorm()  {  [BUGGY]    Arrays.sort(this.data);  [BUGGY]  double  sum  =  0;  for  (double  a  :  data)  {  sum  +=  a  *  a;  }  return  Math.sqrt(sum);  }  [CLASS]  ArrayRealVector  [METHOD]  getNorm  [RETURN_TYPE]  double  [VARIABLES]  RealVectorFormat  DEFAULT_FORMAT  String  NON_FITTING_POSITION_AND_SIZE_MESSAGE  boolean  double[]  d  data  out  v  v1  v2  long  serialVersionUID  double  a  sum  	projects/Math77/src/main/java/org/apache/commons/math/linear/ArrayRealVector.java	0.7071067811865475	699	699	2	add	    Arrays.sort(this.data);		compilable	  [FE]  AssertionFailedError  testBasicFunctions	2	2
142	[BUG]  [BUGGY]    Arrays.sort(this.data);  [FE]  AssertionFailedError  testBasicFunctions  [CONTEXT]  public  double  getNorm()  {  [BUGGY]    Arrays.sort(this.data);  [BUGGY]  double  sum  =  0;  for  (double  a  :  data)  {  sum  +=  a  *  a;  }  return  Math.sqrt(sum);  }  [CLASS]  ArrayRealVector  [METHOD]  getNorm  [RETURN_TYPE]  double  [VARIABLES]  RealVectorFormat  DEFAULT_FORMAT  String  NON_FITTING_POSITION_AND_SIZE_MESSAGE  boolean  double[]  d  data  out  v  v1  v2  long  serialVersionUID  double  a  sum  	projects/Math77/src/main/java/org/apache/commons/math/linear/ArrayRealVector.java	0.7071067811865475	699	699	2	replace	    Arrays.sort(this.data);		compilable	  [FE]  AssertionFailedError  testBasicFunctions	2	2	add
142	[BUG]  [BUGGY]    Validate.notNull(data);  [CE]  cannot  find  symbol  Validate  [CONTEXT]  public  double  getNorm()  {  [BUGGY]    Validate.notNull(data);  [BUGGY]  double  sum  =  0;  for  (double  a  :  data)  {  sum  +=  a  *  a;  }  return  Math.sqrt(sum);  }  [CLASS]  ArrayRealVector  [METHOD]  getNorm  [RETURN_TYPE]  double  [VARIABLES]  RealVectorFormat  DEFAULT_FORMAT  String  NON_FITTING_POSITION_AND_SIZE_MESSAGE  boolean  double[]  d  data  out  v  v1  v2  long  serialVersionUID  double  a  sum  	projects/Math77/src/main/java/org/apache/commons/math/linear/ArrayRealVector.java	0.7071067811865475	699	699	2	replace	    Validate.notNull(data);		non-compiled	[CE]  cannot  find  symbol  Validate	2	None	add
143	[BUG]  [BUGGY]    double[]  data  =  getNorm();  [CE]  incompatible  types  [CONTEXT]  public  double  getNorm()  {  [BUGGY]    double[]  data  =  getNorm();  [BUGGY]  double  sum  =  0;  for  (double  a  :  data)  {  sum  +=  a  *  a;  }  return  Math.sqrt(sum);  }  [CLASS]  ArrayRealVector  [METHOD]  getNorm  [RETURN_TYPE]  double  [VARIABLES]  RealVectorFormat  DEFAULT_FORMAT  String  NON_FITTING_POSITION_AND_SIZE_MESSAGE  boolean  double[]  d  data  out  v  v1  v2  long  serialVersionUID  double  a  sum  	projects/Math77/src/main/java/org/apache/commons/math/linear/ArrayRealVector.java	0.7071067811865475	699	699	2	replace	    double[]  data  =  getNorm();		non-compiled	[CE]  incompatible  types	2	None	add
144	[BUG]  [BUGGY]    Validate.isTrue(data!=  null);  [CE]  cannot  find  symbol  Validate  [CONTEXT]  public  double  getNorm()  {  [BUGGY]    Validate.isTrue(data!=  null);  [BUGGY]  double  sum  =  0;  for  (double  a  :  data)  {  sum  +=  a  *  a;  }  return  Math.sqrt(sum);  }  [CLASS]  ArrayRealVector  [METHOD]  getNorm  [RETURN_TYPE]  double  [VARIABLES]  RealVectorFormat  DEFAULT_FORMAT  String  NON_FITTING_POSITION_AND_SIZE_MESSAGE  boolean  double[]  d  data  out  v  v1  v2  long  serialVersionUID  double  a  sum  	projects/Math77/src/main/java/org/apache/commons/math/linear/ArrayRealVector.java	0.7071067811865475	699	699	2	replace	    Validate.isTrue(data!=  null);		non-compiled	[CE]  cannot  find  symbol  Validate	2	None	add
145	[BUG]  [BUGGY]    Validate.isTrue(data  ==  null);  [CE]  cannot  find  symbol  Validate  [CONTEXT]  public  double  getNorm()  {  [BUGGY]    Validate.isTrue(data  ==  null);  [BUGGY]  double  sum  =  0;  for  (double  a  :  data)  {  sum  +=  a  *  a;  }  return  Math.sqrt(sum);  }  [CLASS]  ArrayRealVector  [METHOD]  getNorm  [RETURN_TYPE]  double  [VARIABLES]  RealVectorFormat  DEFAULT_FORMAT  String  NON_FITTING_POSITION_AND_SIZE_MESSAGE  boolean  double[]  d  data  out  v  v1  v2  long  serialVersionUID  double  a  sum  	projects/Math77/src/main/java/org/apache/commons/math/linear/ArrayRealVector.java	0.7071067811865475	699	699	2	replace	    Validate.isTrue(data  ==  null);		non-compiled	[CE]  cannot  find  symbol  Validate	2	None	add
162	[BUG]  [BUGGY]  [FE]  AssertionFailedError  testBasicFunctions  [CONTEXT]  public  double  getNorm()  {  double  sum  =  0;  [BUGGY]  for(double  a  :  this.data)  {  [BUGGY]  sum  +=  a  *  a;  }  return  Math.sqrt(sum);  }  [CLASS]  ArrayRealVector  [METHOD]  getNorm  [RETURN_TYPE]  double  [VARIABLES]  RealVectorFormat  DEFAULT_FORMAT  String  NON_FITTING_POSITION_AND_SIZE_MESSAGE  boolean  double[]  d  data  out  v  v1  v2  long  serialVersionUID  double  a  sum  	projects/Math77/src/main/java/org/apache/commons/math/linear/ArrayRealVector.java	0.7071067811865475	700	700	2	add	for(double  a  :  this.data)  {	for  (double  a  :  data)  {  	compilable	  [FE]  AssertionFailedError  testBasicFunctions	3	2
163	[BUG]  [BUGGY]  for(double  a  :  this.data)  {  [FE]  AssertionFailedError  testBasicFunctions  [CONTEXT]  public  double  getNorm()  {  double  sum  =  0;  [BUGGY]  for(double  a  :  this.data)  {  [BUGGY]  sum  +=  a  *  a;  }  return  Math.sqrt(sum);  }  [CLASS]  ArrayRealVector  [METHOD]  getNorm  [RETURN_TYPE]  double  [VARIABLES]  RealVectorFormat  DEFAULT_FORMAT  String  NON_FITTING_POSITION_AND_SIZE_MESSAGE  boolean  double[]  d  data  out  v  v1  v2  long  serialVersionUID  double  a  sum  	projects/Math77/src/main/java/org/apache/commons/math/linear/ArrayRealVector.java	0.7071067811865475	700	700	2	replace	for(double  a  :  this.data)  {	for  (double  a  :  data)  {  	compilable	  [FE]  AssertionFailedError  testBasicFunctions	3	2	replace
163	[BUG]  [BUGGY]  for(double  a  :  getNorm())  {  [CE]  for-each  not  applicable  to  expression  type  [CONTEXT]  public  double  getNorm()  {  double  sum  =  0;  [BUGGY]  for(double  a  :  getNorm())  {  [BUGGY]  sum  +=  a  *  a;  }  return  Math.sqrt(sum);  }  [CLASS]  ArrayRealVector  [METHOD]  getNorm  [RETURN_TYPE]  double  [VARIABLES]  RealVectorFormat  DEFAULT_FORMAT  String  NON_FITTING_POSITION_AND_SIZE_MESSAGE  boolean  double[]  d  data  out  v  v1  v2  long  serialVersionUID  double  a  sum  	projects/Math77/src/main/java/org/apache/commons/math/linear/ArrayRealVector.java	0.7071067811865475	700	700	2	replace	for(double  a  :  getNorm())  {	for  (double  a  :  data)  {  	non-compiled	[CE]  for-each  not  applicable  to  expression  type	3	None	replace
164	[BUG]  [BUGGY]  for(double  a  :  sum)  {  [CE]  for-each  not  applicable  to  expression  type  [CONTEXT]  public  double  getNorm()  {  double  sum  =  0;  [BUGGY]  for(double  a  :  sum)  {  [BUGGY]  sum  +=  a  *  a;  }  return  Math.sqrt(sum);  }  [CLASS]  ArrayRealVector  [METHOD]  getNorm  [RETURN_TYPE]  double  [VARIABLES]  RealVectorFormat  DEFAULT_FORMAT  String  NON_FITTING_POSITION_AND_SIZE_MESSAGE  boolean  double[]  d  data  out  v  v1  v2  long  serialVersionUID  double  a  sum  	projects/Math77/src/main/java/org/apache/commons/math/linear/ArrayRealVector.java	0.7071067811865475	700	700	2	replace	for(double  a  :  sum)  {	for  (double  a  :  data)  {  	non-compiled	[CE]  for-each  not  applicable  to  expression  type	3	None	replace
181	[BUG]  [BUGGY]    if(data!=  null)  {  for([]  d  =  getDataItemCount();  d  <  0;)  {  sum  +=  DataUtil.doubleValue(data);  }  [CE]  illegal  start  of  expression  [CONTEXT]  public  double  getNorm()  {  double  sum  =  0;  [BUGGY]    if(data!=  null)  {  for([]  d  =  getDataItemCount();  d  <  0;)  {  sum  +=  DataUtil.doubleValue(data);  }  [BUGGY]  for  (double  a  :  data)  {  sum  +=  a  *  a;  }  return  Math.sqrt(sum);  }  [CLASS]  ArrayRealVector  [METHOD]  getNorm  [RETURN_TYPE]  double  [VARIABLES]  RealVectorFormat  DEFAULT_FORMAT  String  NON_FITTING_POSITION_AND_SIZE_MESSAGE  boolean  double[]  d  data  out  v  v1  v2  long  serialVersionUID  double  a  sum  	projects/Math77/src/main/java/org/apache/commons/math/linear/ArrayRealVector.java	0.7071067811865475	700	700	2	replace	    if(data!=  null)  {  for([]  d  =  getDataItemCount();  d  <  0;)  {  sum  +=  DataUtil.doubleValue(data);  }		non-compiled	[CE]  illegal  start  of  expression	4	None	add
182	[BUG]  [BUGGY]    if(data!=  null)  {  for([]  d  =  getDataItemCount();  d  <  0;)  {  sum  +=  data[d];  }  [CE]  illegal  start  of  expression  [CONTEXT]  public  double  getNorm()  {  double  sum  =  0;  [BUGGY]    if(data!=  null)  {  for([]  d  =  getDataItemCount();  d  <  0;)  {  sum  +=  data[d];  }  [BUGGY]  for  (double  a  :  data)  {  sum  +=  a  *  a;  }  return  Math.sqrt(sum);  }  [CLASS]  ArrayRealVector  [METHOD]  getNorm  [RETURN_TYPE]  double  [VARIABLES]  RealVectorFormat  DEFAULT_FORMAT  String  NON_FITTING_POSITION_AND_SIZE_MESSAGE  boolean  double[]  d  data  out  v  v1  v2  long  serialVersionUID  double  a  sum  	projects/Math77/src/main/java/org/apache/commons/math/linear/ArrayRealVector.java	0.7071067811865475	700	700	2	replace	    if(data!=  null)  {  for([]  d  =  getDataItemCount();  d  <  0;)  {  sum  +=  data[d];  }		non-compiled	[CE]  illegal  start  of  expression	4	None	add
183	[BUG]  [BUGGY]    if(data!=  null)  {  for([]  d  =  getDataItemCount();  d  <  0;)  {  sum  +=  DataUtilities.doubleValue(data);  }  [CE]  illegal  start  of  expression  [CONTEXT]  public  double  getNorm()  {  double  sum  =  0;  [BUGGY]    if(data!=  null)  {  for([]  d  =  getDataItemCount();  d  <  0;)  {  sum  +=  DataUtilities.doubleValue(data);  }  [BUGGY]  for  (double  a  :  data)  {  sum  +=  a  *  a;  }  return  Math.sqrt(sum);  }  [CLASS]  ArrayRealVector  [METHOD]  getNorm  [RETURN_TYPE]  double  [VARIABLES]  RealVectorFormat  DEFAULT_FORMAT  String  NON_FITTING_POSITION_AND_SIZE_MESSAGE  boolean  double[]  d  data  out  v  v1  v2  long  serialVersionUID  double  a  sum  	projects/Math77/src/main/java/org/apache/commons/math/linear/ArrayRealVector.java	0.7071067811865475	700	700	2	replace	    if(data!=  null)  {  for([]  d  =  getDataItemCount();  d  <  0;)  {  sum  +=  DataUtilities.doubleValue(data);  }		non-compiled	[CE]  illegal  start  of  expression	4	None	add
184	[BUG]  [BUGGY]    if(data!=  null)  {  for([]  d  =  getDataItemCount();  d  <  0;)  {  sum  +=  DataUtil.doubleValue(data[0],  data[1]);  }  [CE]  illegal  start  of  expression  [CONTEXT]  public  double  getNorm()  {  double  sum  =  0;  [BUGGY]    if(data!=  null)  {  for([]  d  =  getDataItemCount();  d  <  0;)  {  sum  +=  DataUtil.doubleValue(data[0],  data[1]);  }  [BUGGY]  for  (double  a  :  data)  {  sum  +=  a  *  a;  }  return  Math.sqrt(sum);  }  [CLASS]  ArrayRealVector  [METHOD]  getNorm  [RETURN_TYPE]  double  [VARIABLES]  RealVectorFormat  DEFAULT_FORMAT  String  NON_FITTING_POSITION_AND_SIZE_MESSAGE  boolean  double[]  d  data  out  v  v1  v2  long  serialVersionUID  double  a  sum  	projects/Math77/src/main/java/org/apache/commons/math/linear/ArrayRealVector.java	0.7071067811865475	700	700	2	replace	    if(data!=  null)  {  for([]  d  =  getDataItemCount();  d  <  0;)  {  sum  +=  DataUtil.doubleValue(data[0],  data[1]);  }		non-compiled	[CE]  illegal  start  of  expression	4	None	add
185	[BUG]  [BUGGY]    if(data!=  null)  {  for([]  d  =  getDataItemCount();  d  <  0;)  {  sum  +=  DataUtil.doubleValue(data,  data.length);  }  [CE]  illegal  start  of  expression  [CONTEXT]  public  double  getNorm()  {  double  sum  =  0;  [BUGGY]    if(data!=  null)  {  for([]  d  =  getDataItemCount();  d  <  0;)  {  sum  +=  DataUtil.doubleValue(data,  data.length);  }  [BUGGY]  for  (double  a  :  data)  {  sum  +=  a  *  a;  }  return  Math.sqrt(sum);  }  [CLASS]  ArrayRealVector  [METHOD]  getNorm  [RETURN_TYPE]  double  [VARIABLES]  RealVectorFormat  DEFAULT_FORMAT  String  NON_FITTING_POSITION_AND_SIZE_MESSAGE  boolean  double[]  d  data  out  v  v1  v2  long  serialVersionUID  double  a  sum  	projects/Math77/src/main/java/org/apache/commons/math/linear/ArrayRealVector.java	0.7071067811865475	700	700	2	replace	    if(data!=  null)  {  for([]  d  =  getDataItemCount();  d  <  0;)  {  sum  +=  DataUtil.doubleValue(data,  data.length);  }		non-compiled	[CE]  illegal  start  of  expression	4	None	add
201	[BUG]  [BUGGY]    double[]  data  =  getNonFixedMessage();  [CE]  cannot  find  symbol  [CONTEXT]  public  double  getLInfNorm()  {  [BUGGY]    double[]  data  =  getNonFixedMessage();  [BUGGY]  double  max  =  0;  for  (double  a  :  data)  {  max  +=  Math.max(max,  Math.abs(a));  }  return  max;  }  [CLASS]  ArrayRealVector  [METHOD]  getLInfNorm  [RETURN_TYPE]  double  [VARIABLES]  RealVectorFormat  DEFAULT_FORMAT  String  NON_FITTING_POSITION_AND_SIZE_MESSAGE  boolean  double[]  d  data  out  v  v1  v2  long  serialVersionUID  double  a  max  	projects/Math77/src/main/java/org/apache/commons/math/linear/ArrayRealVector.java	0.7071067811865475	719	719	2	replace	    double[]  data  =  getNonFixedMessage();		non-compiled	[CE]  cannot  find  symbol	18	None	add
202	[BUG]  [BUGGY]  [FE]  AssertionFailedError  testBasicFunctions  [CONTEXT]  public  double  getLInfNorm()  {  [BUGGY]    double[]  data  =  this.getData();  [BUGGY]  double  max  =  0;  for  (double  a  :  data)  {  max  +=  Math.max(max,  Math.abs(a));  }  return  max;  }  [CLASS]  ArrayRealVector  [METHOD]  getLInfNorm  [RETURN_TYPE]  double  [VARIABLES]  RealVectorFormat  DEFAULT_FORMAT  String  NON_FITTING_POSITION_AND_SIZE_MESSAGE  boolean  double[]  d  data  out  v  v1  v2  long  serialVersionUID  double  a  max  	projects/Math77/src/main/java/org/apache/commons/math/linear/ArrayRealVector.java	0.7071067811865475	719	719	2	add	    double[]  data  =  this.getData();		compilable	  [FE]  AssertionFailedError  testBasicFunctions	18	2
203	[BUG]  [BUGGY]    double[]  data  =  this.getData();  [FE]  AssertionFailedError  testBasicFunctions  [CONTEXT]  public  double  getLInfNorm()  {  [BUGGY]    double[]  data  =  this.getData();  [BUGGY]  double  max  =  0;  for  (double  a  :  data)  {  max  +=  Math.max(max,  Math.abs(a));  }  return  max;  }  [CLASS]  ArrayRealVector  [METHOD]  getLInfNorm  [RETURN_TYPE]  double  [VARIABLES]  RealVectorFormat  DEFAULT_FORMAT  String  NON_FITTING_POSITION_AND_SIZE_MESSAGE  boolean  double[]  d  data  out  v  v1  v2  long  serialVersionUID  double  a  max  	projects/Math77/src/main/java/org/apache/commons/math/linear/ArrayRealVector.java	0.7071067811865475	719	719	2	replace	    double[]  data  =  this.getData();		compilable	  [FE]  AssertionFailedError  testBasicFunctions	18	2	add
203	[BUG]  [BUGGY]    double  data  =  getLinfNorm();  [CE]  cannot  find  symbol  [CONTEXT]  public  double  getLInfNorm()  {  [BUGGY]    double  data  =  getLinfNorm();  [BUGGY]  double  max  =  0;  for  (double  a  :  data)  {  max  +=  Math.max(max,  Math.abs(a));  }  return  max;  }  [CLASS]  ArrayRealVector  [METHOD]  getLInfNorm  [RETURN_TYPE]  double  [VARIABLES]  RealVectorFormat  DEFAULT_FORMAT  String  NON_FITTING_POSITION_AND_SIZE_MESSAGE  boolean  double[]  d  data  out  v  v1  v2  long  serialVersionUID  double  a  max  	projects/Math77/src/main/java/org/apache/commons/math/linear/ArrayRealVector.java	0.7071067811865475	719	719	2	replace	    double  data  =  getLinfNorm();		non-compiled	[CE]  cannot  find  symbol	18	None	add
204	[BUG]  [BUGGY]    double[]  data  =  getNonFieldValues();  [CE]  cannot  find  symbol  [CONTEXT]  public  double  getLInfNorm()  {  [BUGGY]    double[]  data  =  getNonFieldValues();  [BUGGY]  double  max  =  0;  for  (double  a  :  data)  {  max  +=  Math.max(max,  Math.abs(a));  }  return  max;  }  [CLASS]  ArrayRealVector  [METHOD]  getLInfNorm  [RETURN_TYPE]  double  [VARIABLES]  RealVectorFormat  DEFAULT_FORMAT  String  NON_FITTING_POSITION_AND_SIZE_MESSAGE  boolean  double[]  d  data  out  v  v1  v2  long  serialVersionUID  double  a  max  	projects/Math77/src/main/java/org/apache/commons/math/linear/ArrayRealVector.java	0.7071067811865475	719	719	2	replace	    double[]  data  =  getNonFieldValues();		non-compiled	[CE]  cannot  find  symbol	18	None	add
205	[BUG]  [BUGGY]    double[]  data  =  getDataItem();  [CE]  cannot  find  symbol  [CONTEXT]  public  double  getLInfNorm()  {  [BUGGY]    double[]  data  =  getDataItem();  [BUGGY]  double  max  =  0;  for  (double  a  :  data)  {  max  +=  Math.max(max,  Math.abs(a));  }  return  max;  }  [CLASS]  ArrayRealVector  [METHOD]  getLInfNorm  [RETURN_TYPE]  double  [VARIABLES]  RealVectorFormat  DEFAULT_FORMAT  String  NON_FITTING_POSITION_AND_SIZE_MESSAGE  boolean  double[]  d  data  out  v  v1  v2  long  serialVersionUID  double  a  max  	projects/Math77/src/main/java/org/apache/commons/math/linear/ArrayRealVector.java	0.7071067811865475	719	719	2	replace	    double[]  data  =  getDataItem();		non-compiled	[CE]  cannot  find  symbol	18	None	add
221	[BUG]  [BUGGY]  [FE]  StackOverflowError  testBasicFunctions  [CONTEXT]  public  double  getNorm()  {  double  sum  =  0;  for  (double  a  :  data)  {  sum  +=  a  *  a;  }  [BUGGY]  return  Math.sqrt(sum  /  getNorm());  [BUGGY]  }  [CLASS]  ArrayRealVector  [METHOD]  getNorm  [RETURN_TYPE]  double  [VARIABLES]  RealVectorFormat  DEFAULT_FORMAT  String  NON_FITTING_POSITION_AND_SIZE_MESSAGE  boolean  double[]  d  data  out  v  v1  v2  long  serialVersionUID  double  a  sum  	projects/Math77/src/main/java/org/apache/commons/math/linear/ArrayRealVector.java	0.7071067811865475	703	703	2	add	return  Math.sqrt(sum  /  getNorm());	return  Math.sqrt(sum);  	compilable	  [FE]  StackOverflowError  testBasicFunctions	7	2
222	[BUG]  [BUGGY]  return  Math.sqrt(sum  /  getNorm());  [FE]  StackOverflowError  testBasicFunctions  [CONTEXT]  public  double  getNorm()  {  double  sum  =  0;  for  (double  a  :  data)  {  sum  +=  a  *  a;  }  [BUGGY]  return  Math.sqrt(sum  /  getNorm());  [BUGGY]  }  [CLASS]  ArrayRealVector  [METHOD]  getNorm  [RETURN_TYPE]  double  [VARIABLES]  RealVectorFormat  DEFAULT_FORMAT  String  NON_FITTING_POSITION_AND_SIZE_MESSAGE  boolean  double[]  d  data  out  v  v1  v2  long  serialVersionUID  double  a  sum  	projects/Math77/src/main/java/org/apache/commons/math/linear/ArrayRealVector.java	0.7071067811865475	703	703	2	replace	return  Math.sqrt(sum  /  getNorm());	return  Math.sqrt(sum);  	compilable	  [FE]  StackOverflowError  testBasicFunctions	7	2	replace
222	[BUG]  [BUGGY]  return  Math.sqrt(sum  /(data  *  getNorm()));  [CE]  bad  operand  types  for  binary  operator  '*'  [CONTEXT]  public  double  getNorm()  {  double  sum  =  0;  for  (double  a  :  data)  {  sum  +=  a  *  a;  }  [BUGGY]  return  Math.sqrt(sum  /(data  *  getNorm()));  [BUGGY]  }  [CLASS]  ArrayRealVector  [METHOD]  getNorm  [RETURN_TYPE]  double  [VARIABLES]  RealVectorFormat  DEFAULT_FORMAT  String  NON_FITTING_POSITION_AND_SIZE_MESSAGE  boolean  double[]  d  data  out  v  v1  v2  long  serialVersionUID  double  a  sum  	projects/Math77/src/main/java/org/apache/commons/math/linear/ArrayRealVector.java	0.7071067811865475	703	703	2	replace	return  Math.sqrt(sum  /(data  *  getNorm()));	return  Math.sqrt(sum);  	non-compiled	[CE]  bad  operand  types  for  binary  operator  '*'	7	None	replace
223	[BUG]  [BUGGY]  [FE]  AssertionFailedError  testBasicFunctions  [CONTEXT]  public  double  getNorm()  {  double  sum  =  0;  for  (double  a  :  data)  {  sum  +=  a  *  a;  }  [BUGGY]  return  Math.sqrt(sum  /  10);  [BUGGY]  }  [CLASS]  ArrayRealVector  [METHOD]  getNorm  [RETURN_TYPE]  double  [VARIABLES]  RealVectorFormat  DEFAULT_FORMAT  String  NON_FITTING_POSITION_AND_SIZE_MESSAGE  boolean  double[]  d  data  out  v  v1  v2  long  serialVersionUID  double  a  sum  	projects/Math77/src/main/java/org/apache/commons/math/linear/ArrayRealVector.java	0.7071067811865475	703	703	2	add	return  Math.sqrt(sum  /  10);	return  Math.sqrt(sum);  	compilable	  [FE]  AssertionFailedError  testBasicFunctions	7	2
224	[BUG]  [BUGGY]  return  Math.sqrt(sum  /  10);  [FE]  AssertionFailedError  testBasicFunctions  [CONTEXT]  public  double  getNorm()  {  double  sum  =  0;  for  (double  a  :  data)  {  sum  +=  a  *  a;  }  [BUGGY]  return  Math.sqrt(sum  /  10);  [BUGGY]  }  [CLASS]  ArrayRealVector  [METHOD]  getNorm  [RETURN_TYPE]  double  [VARIABLES]  RealVectorFormat  DEFAULT_FORMAT  String  NON_FITTING_POSITION_AND_SIZE_MESSAGE  boolean  double[]  d  data  out  v  v1  v2  long  serialVersionUID  double  a  sum  	projects/Math77/src/main/java/org/apache/commons/math/linear/ArrayRealVector.java	0.7071067811865475	703	703	2	replace	return  Math.sqrt(sum  /  10);	return  Math.sqrt(sum);  	compilable	  [FE]  AssertionFailedError  testBasicFunctions	7	2	replace
