bugid	buggy	buggy_class	suspiciousness	buggy_line	endbuggycode	original_failing_test_number	action	patch	original_buggy	execution_result	diagnosis	previous_bug_id	new_failing_test_number
this_action1	[BUG]  [BUGGY]  [FE]  ComparisonFailure  testOptionComparatorInsertedOrder  [CONTEXT]  public  Options  addOptionGroup(OptionGroup  group)  {  [BUGGY]  if(!group.isRequired())  {  [BUGGY]  {  requiredOpts.add(group);  }  for  (Option  option  :  group.getOptions())  {    option.setRequired(false);  [CLASS]  Options  [METHOD]  addOptionGroup  [RETURN_TYPE]  Options  OptionGroup  group  [VARIABLES]  List  requiredOpts  Option  option  OptionGroup  group  boolean  Map  longOpts  optionGroups  shortOpts  long  serialVersionUID  	projects/Cli36/src/main/java/org/apache/commons/cli/Options.java	0.7071067811865475	71	72	1	add	if(!group.isRequired())  {	if  (group.isRequired())  {  	compilable	  [FE]  ComparisonFailure  testOptionComparatorInsertedOrder	10	1
134	[BUG]  [BUGGY]  [FE]  ComparisonFailure  testOptionComparatorInsertedOrder  [CONTEXT]  }  for  (Option  option  :  group.getOptions())  {    option.setRequired(false);  addOption(option);  [BUGGY]    group.setRequired(false);  [BUGGY]  optionGroups.put(option.getKey(),  group);  }  return  this;  }  [CLASS]  Options  [METHOD]  addOptionGroup  [RETURN_TYPE]  Options  OptionGroup  group  [VARIABLES]  List  requiredOpts  Option  option  OptionGroup  group  boolean  Map  longOpts  optionGroups  shortOpts  long  serialVersionUID  	projects/Cli36/src/main/java/org/apache/commons/cli/Options.java	0.7071067811865475	84	84	1	add	    group.setRequired(false);		compilable	  [FE]  ComparisonFailure  testOptionComparatorInsertedOrder	21	1
135	[BUG]  [BUGGY]    group.setRequired(false);  [FE]  ComparisonFailure  testOptionComparatorInsertedOrder  [CONTEXT]  }  for  (Option  option  :  group.getOptions())  {    option.setRequired(false);  addOption(option);  [BUGGY]    group.setRequired(false);  [BUGGY]  optionGroups.put(option.getKey(),  group);  }  return  this;  }  [CLASS]  Options  [METHOD]  addOptionGroup  [RETURN_TYPE]  Options  OptionGroup  group  [VARIABLES]  List  requiredOpts  Option  option  OptionGroup  group  boolean  Map  longOpts  optionGroups  shortOpts  long  serialVersionUID  	projects/Cli36/src/main/java/org/apache/commons/cli/Options.java	0.7071067811865475	84	84	1	replace	    group.setRequired(false);		compilable	  [FE]  ComparisonFailure  testOptionComparatorInsertedOrder	21	1	add
135	[BUG]  [BUGGY]  [FE]  ComparisonFailure  testOptionComparatorInsertedOrder  [CONTEXT]  }  for  (Option  option  :  group.getOptions())  {    option.setRequired(false);  addOption(option);  [BUGGY]    requiredOpts.add(group);  [BUGGY]  optionGroups.put(option.getKey(),  group);  }  return  this;  }  [CLASS]  Options  [METHOD]  addOptionGroup  [RETURN_TYPE]  Options  OptionGroup  group  [VARIABLES]  List  requiredOpts  Option  option  OptionGroup  group  boolean  Map  longOpts  optionGroups  shortOpts  long  serialVersionUID  	projects/Cli36/src/main/java/org/apache/commons/cli/Options.java	0.7071067811865475	84	84	1	add	    requiredOpts.add(group);		compilable	  [FE]  ComparisonFailure  testOptionComparatorInsertedOrder	21	1
136	[BUG]  [BUGGY]    requiredOpts.add(group);  [FE]  ComparisonFailure  testOptionComparatorInsertedOrder  [CONTEXT]  }  for  (Option  option  :  group.getOptions())  {    option.setRequired(false);  addOption(option);  [BUGGY]    requiredOpts.add(group);  [BUGGY]  optionGroups.put(option.getKey(),  group);  }  return  this;  }  [CLASS]  Options  [METHOD]  addOptionGroup  [RETURN_TYPE]  Options  OptionGroup  group  [VARIABLES]  List  requiredOpts  Option  option  OptionGroup  group  boolean  Map  longOpts  optionGroups  shortOpts  long  serialVersionUID  	projects/Cli36/src/main/java/org/apache/commons/cli/Options.java	0.7071067811865475	84	84	1	replace	    requiredOpts.add(group);		compilable	  [FE]  ComparisonFailure  testOptionComparatorInsertedOrder	21	1	add
142	[BUG]  [BUGGY]  optionGroups.put(option.getKey(),  option);  [CE]  method  put  in  interface  Map<K,V>  cannot  be  applied  to  given  types;  [CONTEXT]  }  for  (Option  option  :  group.getOptions())  {    option.setRequired(false);  addOption(option);  [BUGGY]  optionGroups.put(option.getKey(),  option);  [BUGGY]  }  return  this;  }  [CLASS]  Options  [METHOD]  addOptionGroup  [RETURN_TYPE]  Options  OptionGroup  group  [VARIABLES]  List  requiredOpts  Option  option  OptionGroup  group  boolean  Map  longOpts  optionGroups  shortOpts  long  serialVersionUID  	projects/Cli36/src/main/java/org/apache/commons/cli/Options.java	0.7071067811865475	84	84	1	replace	optionGroups.put(option.getKey(),  option);	optionGroups.put(option.getKey(),  group);  	non-compiled	[CE]  method  put  in  interface  Map<K,V>  cannot  be  applied  to  given  types;	20	None	replace
143	[BUG]  [BUGGY]  optionGroups.put(option.getKey(),  this.optionGroups);  [CE]  method  put  in  interface  Map<K,V>  cannot  be  applied  to  given  types;  [CONTEXT]  }  for  (Option  option  :  group.getOptions())  {    option.setRequired(false);  addOption(option);  [BUGGY]  optionGroups.put(option.getKey(),  this.optionGroups);  [BUGGY]  }  return  this;  }  [CLASS]  Options  [METHOD]  addOptionGroup  [RETURN_TYPE]  Options  OptionGroup  group  [VARIABLES]  List  requiredOpts  Option  option  OptionGroup  group  boolean  Map  longOpts  optionGroups  shortOpts  long  serialVersionUID  	projects/Cli36/src/main/java/org/apache/commons/cli/Options.java	0.7071067811865475	84	84	1	replace	optionGroups.put(option.getKey(),  this.optionGroups);	optionGroups.put(option.getKey(),  group);  	non-compiled	[CE]  method  put  in  interface  Map<K,V>  cannot  be  applied  to  given  types;	20	None	replace
144	[BUG]  [BUGGY]  optionGroups.put(option.getKey(),  new  Option(group));  [CE]  no  suitable  constructor  found  for  Option(OptionGroup)  [CONTEXT]  }  for  (Option  option  :  group.getOptions())  {    option.setRequired(false);  addOption(option);  [BUGGY]  optionGroups.put(option.getKey(),  new  Option(group));  [BUGGY]  }  return  this;  }  [CLASS]  Options  [METHOD]  addOptionGroup  [RETURN_TYPE]  Options  OptionGroup  group  [VARIABLES]  List  requiredOpts  Option  option  OptionGroup  group  boolean  Map  longOpts  optionGroups  shortOpts  long  serialVersionUID  	projects/Cli36/src/main/java/org/apache/commons/cli/Options.java	0.7071067811865475	84	84	1	replace	optionGroups.put(option.getKey(),  new  Option(group));	optionGroups.put(option.getKey(),  group);  	non-compiled	[CE]  no  suitable  constructor  found  for  Option(OptionGroup)	20	None	replace
152	[BUG]  [BUGGY]  [FE]  ComparisonFailure  testOptionComparatorInsertedOrder  [CONTEXT]    [BUGGY]  private  static  final  Map  <  String,  OptionGroup>  optionGroups  =  new  HashMap  <  String,  OptionGroup>();  [BUGGY]    [CLASS]  Options  [VARIABLES]  	projects/Cli36/src/main/java/org/apache/commons/cli/Options.java	0.7071067811865475	61	61	1	add	private  static  final  Map  <  String,  OptionGroup>  optionGroups  =  new  HashMap  <  String,  OptionGroup>();	private  final  Map<String,  OptionGroup>  optionGroups  =  new  HashMap<String,  OptionGroup>();  	compilable	  [FE]  ComparisonFailure  testOptionComparatorInsertedOrder	8	1
153	[BUG]  [BUGGY]  private  static  final  Map  <  String,  OptionGroup>  optionGroups  =  new  HashMap  <  String,  OptionGroup>();  [FE]  ComparisonFailure  testOptionComparatorInsertedOrder  [CONTEXT]    [BUGGY]  private  static  final  Map  <  String,  OptionGroup>  optionGroups  =  new  HashMap  <  String,  OptionGroup>();  [BUGGY]    [CLASS]  Options  [VARIABLES]  	projects/Cli36/src/main/java/org/apache/commons/cli/Options.java	0.7071067811865475	61	61	1	replace	private  static  final  Map  <  String,  OptionGroup>  optionGroups  =  new  HashMap  <  String,  OptionGroup>();	private  final  Map<String,  OptionGroup>  optionGroups  =  new  HashMap<String,  OptionGroup>();  	compilable	  [FE]  ComparisonFailure  testOptionComparatorInsertedOrder	8	1	replace
153	[BUG]  [BUGGY]  [FE]  ComparisonFailure  testOptionComparatorInsertedOrder  [CONTEXT]    [BUGGY]  private  static  Map  <  String,  OptionGroup>  optionGroups  =  new  HashMap  <  String,  OptionGroup>();  [BUGGY]    [CLASS]  Options  [VARIABLES]  	projects/Cli36/src/main/java/org/apache/commons/cli/Options.java	0.7071067811865475	61	61	1	add	private  static  Map  <  String,  OptionGroup>  optionGroups  =  new  HashMap  <  String,  OptionGroup>();	private  final  Map<String,  OptionGroup>  optionGroups  =  new  HashMap<String,  OptionGroup>();  	compilable	  [FE]  ComparisonFailure  testOptionComparatorInsertedOrder	8	1
154	[BUG]  [BUGGY]  private  static  Map  <  String,  OptionGroup>  optionGroups  =  new  HashMap  <  String,  OptionGroup>();  [FE]  ComparisonFailure  testOptionComparatorInsertedOrder  [CONTEXT]    [BUGGY]  private  static  Map  <  String,  OptionGroup>  optionGroups  =  new  HashMap  <  String,  OptionGroup>();  [BUGGY]    [CLASS]  Options  [VARIABLES]  	projects/Cli36/src/main/java/org/apache/commons/cli/Options.java	0.7071067811865475	61	61	1	replace	private  static  Map  <  String,  OptionGroup>  optionGroups  =  new  HashMap  <  String,  OptionGroup>();	private  final  Map<String,  OptionGroup>  optionGroups  =  new  HashMap<String,  OptionGroup>();  	compilable	  [FE]  ComparisonFailure  testOptionComparatorInsertedOrder	8	1	replace
154	[BUG]  [BUGGY]  [FE]  ComparisonFailure  testOptionComparatorInsertedOrder  [CONTEXT]    [BUGGY]  public  static  final  Map  <  String,  OptionGroup>  optionGroups  =  new  HashMap  <  String,  OptionGroup>();  [BUGGY]    [CLASS]  Options  [VARIABLES]  	projects/Cli36/src/main/java/org/apache/commons/cli/Options.java	0.7071067811865475	61	61	1	add	public  static  final  Map  <  String,  OptionGroup>  optionGroups  =  new  HashMap  <  String,  OptionGroup>();	private  final  Map<String,  OptionGroup>  optionGroups  =  new  HashMap<String,  OptionGroup>();  	compilable	  [FE]  ComparisonFailure  testOptionComparatorInsertedOrder	8	1
155	[BUG]  [BUGGY]  public  static  final  Map  <  String,  OptionGroup>  optionGroups  =  new  HashMap  <  String,  OptionGroup>();  [FE]  ComparisonFailure  testOptionComparatorInsertedOrder  [CONTEXT]    [BUGGY]  public  static  final  Map  <  String,  OptionGroup>  optionGroups  =  new  HashMap  <  String,  OptionGroup>();  [BUGGY]    [CLASS]  Options  [VARIABLES]  	projects/Cli36/src/main/java/org/apache/commons/cli/Options.java	0.7071067811865475	61	61	1	replace	public  static  final  Map  <  String,  OptionGroup>  optionGroups  =  new  HashMap  <  String,  OptionGroup>();	private  final  Map<String,  OptionGroup>  optionGroups  =  new  HashMap<String,  OptionGroup>();  	compilable	  [FE]  ComparisonFailure  testOptionComparatorInsertedOrder	8	1	replace
161	[BUG]  [BUGGY]    return  LongOpts.valueOf(longOpts);  [CE]  illegal  start  of  type  [CONTEXT]    [BUGGY]    return  LongOpts.valueOf(longOpts);  [BUGGY]  private  final  Map<String,  Option>  longOpts  =  new  LinkedHashMap<String,  Option>();  [CLASS]  Options  [VARIABLES]  	projects/Cli36/src/main/java/org/apache/commons/cli/Options.java	0.7071067811865475	53	53	1	replace	    return  LongOpts.valueOf(longOpts);		non-compiled	[CE]  illegal  start  of  type	5	None	add
162	[BUG]  [BUGGY]    return  new  LinkedHashMap  <  String,  Option>();  [CE]  illegal  start  of  type  [CONTEXT]    [BUGGY]    return  new  LinkedHashMap  <  String,  Option>();  [BUGGY]  private  final  Map<String,  Option>  longOpts  =  new  LinkedHashMap<String,  Option>();  [CLASS]  Options  [VARIABLES]  	projects/Cli36/src/main/java/org/apache/commons/cli/Options.java	0.7071067811865475	53	53	1	replace	    return  new  LinkedHashMap  <  String,  Option>();		non-compiled	[CE]  illegal  start  of  type	5	None	add
163	[BUG]  [BUGGY]    return  LongOpts.valueOf(longOpts.size()  -  1);  [CE]  illegal  start  of  type  [CONTEXT]    [BUGGY]    return  LongOpts.valueOf(longOpts.size()  -  1);  [BUGGY]  private  final  Map<String,  Option>  longOpts  =  new  LinkedHashMap<String,  Option>();  [CLASS]  Options  [VARIABLES]  	projects/Cli36/src/main/java/org/apache/commons/cli/Options.java	0.7071067811865475	53	53	1	replace	    return  LongOpts.valueOf(longOpts.size()  -  1);		non-compiled	[CE]  illegal  start  of  type	5	None	add
164	[BUG]  [BUGGY]    return  LongOpts.valueOf(longOpts.size());  [CE]  illegal  start  of  type  [CONTEXT]    [BUGGY]    return  LongOpts.valueOf(longOpts.size());  [BUGGY]  private  final  Map<String,  Option>  longOpts  =  new  LinkedHashMap<String,  Option>();  [CLASS]  Options  [VARIABLES]  	projects/Cli36/src/main/java/org/apache/commons/cli/Options.java	0.7071067811865475	53	53	1	replace	    return  LongOpts.valueOf(longOpts.size());		non-compiled	[CE]  illegal  start  of  type	5	None	add
165	[BUG]  [BUGGY]    return  new  LinkedHashMap  <  String,  Option>(longOpts);  [CE]  illegal  start  of  type  [CONTEXT]    [BUGGY]    return  new  LinkedHashMap  <  String,  Option>(longOpts);  [BUGGY]  private  final  Map<String,  Option>  longOpts  =  new  LinkedHashMap<String,  Option>();  [CLASS]  Options  [VARIABLES]  	projects/Cli36/src/main/java/org/apache/commons/cli/Options.java	0.7071067811865475	53	53	1	replace	    return  new  LinkedHashMap  <  String,  Option>(longOpts);		non-compiled	[CE]  illegal  start  of  type	5	None	add
171	[BUG]  [BUGGY]  [FE]  ComparisonFailure  testOptionComparatorInsertedOrder  [CONTEXT]  if  (group.isRequired())  {  requiredOpts.add(group);  }  for  (Option  option  :  group.getOptions())  {      [BUGGY]  option.setRequired(true);  [BUGGY]  addOption(option);  optionGroups.put(option.getKey(),  group);  }  return  this;  }  [CLASS]  Options  [METHOD]  addOptionGroup  [RETURN_TYPE]  Options  OptionGroup  group  [VARIABLES]  List  requiredOpts  Option  option  OptionGroup  group  boolean  Map  longOpts  optionGroups  shortOpts  long  serialVersionUID  	projects/Cli36/src/main/java/org/apache/commons/cli/Options.java	0.7071067811865475	81	81	1	add	option.setRequired(true);	option.setRequired(false);  	compilable	  [FE]  ComparisonFailure  testOptionComparatorInsertedOrder	16	1
172	[BUG]  [BUGGY]  option.setRequired(true);  [FE]  ComparisonFailure  testOptionComparatorInsertedOrder  [CONTEXT]  if  (group.isRequired())  {  requiredOpts.add(group);  }  for  (Option  option  :  group.getOptions())  {      [BUGGY]  option.setRequired(true);  [BUGGY]  addOption(option);  optionGroups.put(option.getKey(),  group);  }  return  this;  }  [CLASS]  Options  [METHOD]  addOptionGroup  [RETURN_TYPE]  Options  OptionGroup  group  [VARIABLES]  List  requiredOpts  Option  option  OptionGroup  group  boolean  Map  longOpts  optionGroups  shortOpts  long  serialVersionUID  	projects/Cli36/src/main/java/org/apache/commons/cli/Options.java	0.7071067811865475	81	81	1	replace	option.setRequired(true);	option.setRequired(false);  	compilable	  [FE]  ComparisonFailure  testOptionComparatorInsertedOrder	16	1	replace
173	[BUG]  [BUGGY]  option.setRequired(false,  true);  [CE]  method  setRequired  in  class  Option  cannot  be  applied  to  given  types;  [CONTEXT]  if  (group.isRequired())  {  requiredOpts.add(group);  }  for  (Option  option  :  group.getOptions())  {      [BUGGY]  option.setRequired(false,  true);  [BUGGY]  addOption(option);  optionGroups.put(option.getKey(),  group);  }  return  this;  }  [CLASS]  Options  [METHOD]  addOptionGroup  [RETURN_TYPE]  Options  OptionGroup  group  [VARIABLES]  List  requiredOpts  Option  option  OptionGroup  group  boolean  Map  longOpts  optionGroups  shortOpts  long  serialVersionUID  	projects/Cli36/src/main/java/org/apache/commons/cli/Options.java	0.7071067811865475	81	81	1	replace	option.setRequired(false,  true);	option.setRequired(false);  	non-compiled	[CE]  method  setRequired  in  class  Option  cannot  be  applied  to  given  types;	16	None	replace
174	[BUG]  [BUGGY]  option.setRequired(false,  requiredOpts);  [CE]  method  setRequired  in  class  Option  cannot  be  applied  to  given  types;  [CONTEXT]  if  (group.isRequired())  {  requiredOpts.add(group);  }  for  (Option  option  :  group.getOptions())  {      [BUGGY]  option.setRequired(false,  requiredOpts);  [BUGGY]  addOption(option);  optionGroups.put(option.getKey(),  group);  }  return  this;  }  [CLASS]  Options  [METHOD]  addOptionGroup  [RETURN_TYPE]  Options  OptionGroup  group  [VARIABLES]  List  requiredOpts  Option  option  OptionGroup  group  boolean  Map  longOpts  optionGroups  shortOpts  long  serialVersionUID  	projects/Cli36/src/main/java/org/apache/commons/cli/Options.java	0.7071067811865475	81	81	1	replace	option.setRequired(false,  requiredOpts);	option.setRequired(false);  	non-compiled	[CE]  method  setRequired  in  class  Option  cannot  be  applied  to  given  types;	16	None	replace
175	[BUG]  [BUGGY]  [FE]  ComparisonFailure  testOptionComparatorInsertedOrder  [CONTEXT]  if  (group.isRequired())  {  requiredOpts.add(group);  }  for  (Option  option  :  group.getOptions())  {      [BUGGY]    [BUGGY]  addOption(option);  optionGroups.put(option.getKey(),  group);  }  return  this;  }  [CLASS]  Options  [METHOD]  addOptionGroup  [RETURN_TYPE]  Options  OptionGroup  group  [VARIABLES]  List  requiredOpts  Option  option  OptionGroup  group  boolean  Map  longOpts  optionGroups  shortOpts  long  serialVersionUID  	projects/Cli36/src/main/java/org/apache/commons/cli/Options.java	0.7071067811865475	81	81	1	add	  	option.setRequired(false);  	compilable	  [FE]  ComparisonFailure  testOptionComparatorInsertedOrder	16	1
176	[BUG]  [BUGGY]    [FE]  ComparisonFailure  testOptionComparatorInsertedOrder  [CONTEXT]  if  (group.isRequired())  {  requiredOpts.add(group);  }  for  (Option  option  :  group.getOptions())  {      [BUGGY]    [BUGGY]  addOption(option);  optionGroups.put(option.getKey(),  group);  }  return  this;  }  [CLASS]  Options  [METHOD]  addOptionGroup  [RETURN_TYPE]  Options  OptionGroup  group  [VARIABLES]  List  requiredOpts  Option  option  OptionGroup  group  boolean  Map  longOpts  optionGroups  shortOpts  long  serialVersionUID  	projects/Cli36/src/main/java/org/apache/commons/cli/Options.java	0.7071067811865475	81	81	1	replace	  	option.setRequired(false);  	compilable	  [FE]  ComparisonFailure  testOptionComparatorInsertedOrder	16	1	replace
182	[BUG]  [BUGGY]  for(Option  option  :  group.getKey())  {  [CE]  cannot  find  symbol  [CONTEXT]  public  Options  addOptionGroup(OptionGroup  group)  {  if  (group.isRequired())  {  requiredOpts.add(group);  }  [BUGGY]  for(Option  option  :  group.getKey())  {  [BUGGY]  {    option.setRequired(false);  addOption(option);  optionGroups.put(option.getKey(),  group);  }  [CLASS]  Options  [METHOD]  addOptionGroup  [RETURN_TYPE]  Options  OptionGroup  group  [VARIABLES]  List  requiredOpts  Option  option  OptionGroup  group  boolean  Map  longOpts  optionGroups  shortOpts  long  serialVersionUID  	projects/Cli36/src/main/java/org/apache/commons/cli/Options.java	0.7071067811865475	76	77	1	replace	for(Option  option  :  group.getKey())  {	for  (Option  option  :  group.getOptions())  {  	non-compiled	[CE]  cannot  find  symbol	14	None	replace
183	[BUG]  [BUGGY]  for(Option  group  :  option.getOptions())  {  [CE]  variable  group  is  already  defined  in  method  addOptionGroup(OptionGroup)  [CONTEXT]  public  Options  addOptionGroup(OptionGroup  group)  {  if  (group.isRequired())  {  requiredOpts.add(group);  }  [BUGGY]  for(Option  group  :  option.getOptions())  {  [BUGGY]  {    option.setRequired(false);  addOption(option);  optionGroups.put(option.getKey(),  group);  }  [CLASS]  Options  [METHOD]  addOptionGroup  [RETURN_TYPE]  Options  OptionGroup  group  [VARIABLES]  List  requiredOpts  Option  option  OptionGroup  group  boolean  Map  longOpts  optionGroups  shortOpts  long  serialVersionUID  	projects/Cli36/src/main/java/org/apache/commons/cli/Options.java	0.7071067811865475	76	77	1	replace	for(Option  group  :  option.getOptions())  {	for  (Option  option  :  group.getOptions())  {  	non-compiled	[CE]  variable  group  is  already  defined  in  method  addOptionGroup(OptionGroup)	14	None	replace
184	[BUG]  [BUGGY]  for(Option  option  :  group.hasOptions())  {  [CE]  cannot  find  symbol  [CONTEXT]  public  Options  addOptionGroup(OptionGroup  group)  {  if  (group.isRequired())  {  requiredOpts.add(group);  }  [BUGGY]  for(Option  option  :  group.hasOptions())  {  [BUGGY]  {    option.setRequired(false);  addOption(option);  optionGroups.put(option.getKey(),  group);  }  [CLASS]  Options  [METHOD]  addOptionGroup  [RETURN_TYPE]  Options  OptionGroup  group  [VARIABLES]  List  requiredOpts  Option  option  OptionGroup  group  boolean  Map  longOpts  optionGroups  shortOpts  long  serialVersionUID  	projects/Cli36/src/main/java/org/apache/commons/cli/Options.java	0.7071067811865475	76	77	1	replace	for(Option  option  :  group.hasOptions())  {	for  (Option  option  :  group.getOptions())  {  	non-compiled	[CE]  cannot  find  symbol	14	None	replace
191	[BUG]  [BUGGY]  [FE]  ComparisonFailure  testOptionComparatorInsertedOrder  [CONTEXT]  if  (group.isRequired())  {  requiredOpts.add(group);  }  for  (Option  option  :  group.getOptions())  {      [BUGGY]    requiredOpts.add(option);  [BUGGY]  option.setRequired(false);  addOption(option);  optionGroups.put(option.getKey(),  group);  }  return  this;  }  [CLASS]  Options  [METHOD]  addOptionGroup  [RETURN_TYPE]  Options  OptionGroup  group  [VARIABLES]  List  requiredOpts  Option  option  OptionGroup  group  boolean  Map  longOpts  optionGroups  shortOpts  long  serialVersionUID  	projects/Cli36/src/main/java/org/apache/commons/cli/Options.java	0.7071067811865475	81	81	1	add	    requiredOpts.add(option);		compilable	  [FE]  ComparisonFailure  testOptionComparatorInsertedOrder	17	1
192	[BUG]  [BUGGY]    requiredOpts.add(option);  [FE]  ComparisonFailure  testOptionComparatorInsertedOrder  [CONTEXT]  if  (group.isRequired())  {  requiredOpts.add(group);  }  for  (Option  option  :  group.getOptions())  {      [BUGGY]    requiredOpts.add(option);  [BUGGY]  option.setRequired(false);  addOption(option);  optionGroups.put(option.getKey(),  group);  }  return  this;  }  [CLASS]  Options  [METHOD]  addOptionGroup  [RETURN_TYPE]  Options  OptionGroup  group  [VARIABLES]  List  requiredOpts  Option  option  OptionGroup  group  boolean  Map  longOpts  optionGroups  shortOpts  long  serialVersionUID  	projects/Cli36/src/main/java/org/apache/commons/cli/Options.java	0.7071067811865475	81	81	1	replace	    requiredOpts.add(option);		compilable	  [FE]  ComparisonFailure  testOptionComparatorInsertedOrder	17	1	add
192	[BUG]  [BUGGY]    option.setKey(false);  [CE]  cannot  find  symbol  [CONTEXT]  if  (group.isRequired())  {  requiredOpts.add(group);  }  for  (Option  option  :  group.getOptions())  {      [BUGGY]    option.setKey(false);  [BUGGY]  option.setRequired(false);  addOption(option);  optionGroups.put(option.getKey(),  group);  }  return  this;  }  [CLASS]  Options  [METHOD]  addOptionGroup  [RETURN_TYPE]  Options  OptionGroup  group  [VARIABLES]  List  requiredOpts  Option  option  OptionGroup  group  boolean  Map  longOpts  optionGroups  shortOpts  long  serialVersionUID  	projects/Cli36/src/main/java/org/apache/commons/cli/Options.java	0.7071067811865475	81	81	1	replace	    option.setKey(false);		non-compiled	[CE]  cannot  find  symbol	17	None	add
193	[BUG]  [BUGGY]  [FE]  ComparisonFailure  testOptionComparatorInsertedOrder  [CONTEXT]  if  (group.isRequired())  {  requiredOpts.add(group);  }  for  (Option  option  :  group.getOptions())  {      [BUGGY]    requiredOpts.add(option.getKey());  [BUGGY]  option.setRequired(false);  addOption(option);  optionGroups.put(option.getKey(),  group);  }  return  this;  }  [CLASS]  Options  [METHOD]  addOptionGroup  [RETURN_TYPE]  Options  OptionGroup  group  [VARIABLES]  List  requiredOpts  Option  option  OptionGroup  group  boolean  Map  longOpts  optionGroups  shortOpts  long  serialVersionUID  	projects/Cli36/src/main/java/org/apache/commons/cli/Options.java	0.7071067811865475	81	81	1	add	    requiredOpts.add(option.getKey());		compilable	  [FE]  ComparisonFailure  testOptionComparatorInsertedOrder	17	1
194	[BUG]  [BUGGY]    requiredOpts.add(option.getKey());  [FE]  ComparisonFailure  testOptionComparatorInsertedOrder  [CONTEXT]  if  (group.isRequired())  {  requiredOpts.add(group);  }  for  (Option  option  :  group.getOptions())  {      [BUGGY]    requiredOpts.add(option.getKey());  [BUGGY]  option.setRequired(false);  addOption(option);  optionGroups.put(option.getKey(),  group);  }  return  this;  }  [CLASS]  Options  [METHOD]  addOptionGroup  [RETURN_TYPE]  Options  OptionGroup  group  [VARIABLES]  List  requiredOpts  Option  option  OptionGroup  group  boolean  Map  longOpts  optionGroups  shortOpts  long  serialVersionUID  	projects/Cli36/src/main/java/org/apache/commons/cli/Options.java	0.7071067811865475	81	81	1	replace	    requiredOpts.add(option.getKey());		compilable	  [FE]  ComparisonFailure  testOptionComparatorInsertedOrder	17	1	add
194	[BUG]  [BUGGY]  [FE]  ComparisonFailure  testOptionComparatorInsertedOrder  [CONTEXT]  if  (group.isRequired())  {  requiredOpts.add(group);  }  for  (Option  option  :  group.getOptions())  {      [BUGGY]    option.setRequired(false);  addOption(option);  [BUGGY]  option.setRequired(false);  addOption(option);  optionGroups.put(option.getKey(),  group);  }  return  this;  }  [CLASS]  Options  [METHOD]  addOptionGroup  [RETURN_TYPE]  Options  OptionGroup  group  [VARIABLES]  List  requiredOpts  Option  option  OptionGroup  group  boolean  Map  longOpts  optionGroups  shortOpts  long  serialVersionUID  	projects/Cli36/src/main/java/org/apache/commons/cli/Options.java	0.7071067811865475	81	81	1	add	    option.setRequired(false);  addOption(option);		compilable	  [FE]  ComparisonFailure  testOptionComparatorInsertedOrder	17	1
195	[BUG]  [BUGGY]    option.setRequired(false);  addOption(option);  [FE]  ComparisonFailure  testOptionComparatorInsertedOrder  [CONTEXT]  if  (group.isRequired())  {  requiredOpts.add(group);  }  for  (Option  option  :  group.getOptions())  {      [BUGGY]    option.setRequired(false);  addOption(option);  [BUGGY]  option.setRequired(false);  addOption(option);  optionGroups.put(option.getKey(),  group);  }  return  this;  }  [CLASS]  Options  [METHOD]  addOptionGroup  [RETURN_TYPE]  Options  OptionGroup  group  [VARIABLES]  List  requiredOpts  Option  option  OptionGroup  group  boolean  Map  longOpts  optionGroups  shortOpts  long  serialVersionUID  	projects/Cli36/src/main/java/org/apache/commons/cli/Options.java	0.7071067811865475	81	81	1	replace	    option.setRequired(false);  addOption(option);		compilable	  [FE]  ComparisonFailure  testOptionComparatorInsertedOrder	17	1	add
195	[BUG]  [BUGGY]  [FE]  ComparisonFailure  testOptionComparatorInsertedOrder  [CONTEXT]  if  (group.isRequired())  {  requiredOpts.add(group);  }  for  (Option  option  :  group.getOptions())  {      [BUGGY]    option.setRequired(true);  addOption(option);  [BUGGY]  option.setRequired(false);  addOption(option);  optionGroups.put(option.getKey(),  group);  }  return  this;  }  [CLASS]  Options  [METHOD]  addOptionGroup  [RETURN_TYPE]  Options  OptionGroup  group  [VARIABLES]  List  requiredOpts  Option  option  OptionGroup  group  boolean  Map  longOpts  optionGroups  shortOpts  long  serialVersionUID  	projects/Cli36/src/main/java/org/apache/commons/cli/Options.java	0.7071067811865475	81	81	1	add	    option.setRequired(true);  addOption(option);		compilable	  [FE]  ComparisonFailure  testOptionComparatorInsertedOrder	17	1
196	[BUG]  [BUGGY]    option.setRequired(true);  addOption(option);  [FE]  ComparisonFailure  testOptionComparatorInsertedOrder  [CONTEXT]  if  (group.isRequired())  {  requiredOpts.add(group);  }  for  (Option  option  :  group.getOptions())  {      [BUGGY]    option.setRequired(true);  addOption(option);  [BUGGY]  option.setRequired(false);  addOption(option);  optionGroups.put(option.getKey(),  group);  }  return  this;  }  [CLASS]  Options  [METHOD]  addOptionGroup  [RETURN_TYPE]  Options  OptionGroup  group  [VARIABLES]  List  requiredOpts  Option  option  OptionGroup  group  boolean  Map  longOpts  optionGroups  shortOpts  long  serialVersionUID  	projects/Cli36/src/main/java/org/apache/commons/cli/Options.java	0.7071067811865475	81	81	1	replace	    option.setRequired(true);  addOption(option);		compilable	  [FE]  ComparisonFailure  testOptionComparatorInsertedOrder	17	1	add
