bugid	buggy	buggy_class	suspiciousness	buggy_line	endbuggycode	original_failing_test_number	action	patch	original_buggy	execution_result	diagnosis	previous_bug_id	new_failing_test_number
this_action1	[BUG]  [BUGGY]  [FE]  ArrayIndexOutOfBoundsException  testRemoveColumnByKey  [CONTEXT]  public  void  removeValue(Comparable  key)  {  int  index  =  getIndex(key);  [BUGGY]  if(index  >=  0)  {  [BUGGY]  return;  }  removeValue(index);  }  [CLASS]  DefaultKeyedValues  [METHOD]  removeValue  [RETURN_TYPE]  void  Comparable  key  [VARIABLES]  ArrayList  keys  values  Comparable  key  boolean  HashMap  indexMap  long  serialVersionUID  int  index  	projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java	1.0	334	334	4	add	if(index  >=  0)  {	if  (index  <  0)  {  	compilable	  [FE]  ArrayIndexOutOfBoundsException  testRemoveColumnByKey	11	4
42	[BUG]  [BUGGY]    this.rows.remove(rowData.getRowIndex());  [CE]  cannot  find  symbol  rowData  [CONTEXT]  public  void  removeColumn(Comparable  columnKey)  {  Iterator  iterator  =  this.rows.iterator();  while  (iterator.hasNext())  {  DefaultKeyedValues  rowData  =  (DefaultKeyedValues)  iterator.next();  rowData.removeValue(columnKey);  }  [BUGGY]    this.rows.remove(rowData.getRowIndex());  [BUGGY]  this.columnKeys.remove(columnKey);  }  [CLASS]  DefaultKeyedValues2D  [METHOD]  removeColumn  [RETURN_TYPE]  void  Comparable  columnKey  [VARIABLES]  Iterator  iterator  List  columnKeys  rowKeys  rows  Comparable  columnKey  boolean  allNull  sortRowKeys  DefaultKeyedValues  rowData  long  serialVersionUID  	projects/Chart18/source/org/jfree/data/DefaultKeyedValues2D.java	0.7071067811865475	460	460	4	replace	    this.rows.remove(rowData.getRowIndex());		non-compiled	[CE]  cannot  find  symbol  rowData	30	None	add
44	[BUG]  [BUGGY]    this.rows.remove(rowData.getRowIndex(),  rowData.getColumnIndex());  [CE]  cannot  find  symbol  rowData  [CONTEXT]  public  void  removeColumn(Comparable  columnKey)  {  Iterator  iterator  =  this.rows.iterator();  while  (iterator.hasNext())  {  DefaultKeyedValues  rowData  =  (DefaultKeyedValues)  iterator.next();  rowData.removeValue(columnKey);  }  [BUGGY]    this.rows.remove(rowData.getRowIndex(),  rowData.getColumnIndex());  [BUGGY]  this.columnKeys.remove(columnKey);  }  [CLASS]  DefaultKeyedValues2D  [METHOD]  removeColumn  [RETURN_TYPE]  void  Comparable  columnKey  [VARIABLES]  Iterator  iterator  List  columnKeys  rowKeys  rows  Comparable  columnKey  boolean  allNull  sortRowKeys  DefaultKeyedValues  rowData  long  serialVersionUID  	projects/Chart18/source/org/jfree/data/DefaultKeyedValues2D.java	0.7071067811865475	460	460	4	replace	    this.rows.remove(rowData.getRowIndex(),  rowData.getColumnIndex());		non-compiled	[CE]  cannot  find  symbol  rowData	30	None	add
45	[BUG]  [BUGGY]    this.columnKeys.remove(columnKey);  rowData.removeValue(columnKey);  [CE]  cannot  find  symbol  rowData  [CONTEXT]  public  void  removeColumn(Comparable  columnKey)  {  Iterator  iterator  =  this.rows.iterator();  while  (iterator.hasNext())  {  DefaultKeyedValues  rowData  =  (DefaultKeyedValues)  iterator.next();  rowData.removeValue(columnKey);  }  [BUGGY]    this.columnKeys.remove(columnKey);  rowData.removeValue(columnKey);  [BUGGY]  this.columnKeys.remove(columnKey);  }  [CLASS]  DefaultKeyedValues2D  [METHOD]  removeColumn  [RETURN_TYPE]  void  Comparable  columnKey  [VARIABLES]  Iterator  iterator  List  columnKeys  rowKeys  rows  Comparable  columnKey  boolean  allNull  sortRowKeys  DefaultKeyedValues  rowData  long  serialVersionUID  	projects/Chart18/source/org/jfree/data/DefaultKeyedValues2D.java	0.7071067811865475	460	460	4	replace	    this.columnKeys.remove(columnKey);  rowData.removeValue(columnKey);		non-compiled	[CE]  cannot  find  symbol  rowData	30	None	add
62	[BUG]  [BUGGY]  [FE]  AssertionFailedError  testRemoveColumnByKey  [CONTEXT]  public  void  removeValue(int  index)  {  this.keys.remove(index);  this.values.remove(index);  [BUGGY]  if(index  <  this.indexMap.size())  {  [BUGGY]  rebuildIndex();  }  }  [CLASS]  DefaultKeyedValues  [METHOD]  removeValue  [RETURN_TYPE]  void  int  index  [VARIABLES]  ArrayList  keys  values  boolean  HashMap  indexMap  long  serialVersionUID  int  index  	projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java	1.0	318	318	4	add	if(index  <  this.indexMap.size())  {	if  (index  <  this.keys.size())  {  	compilable	  [FE]  AssertionFailedError  testRemoveColumnByKey	5	2
63	[BUG]  [BUGGY]  if(index  <  this.indexMap.size())  {  [FE]  AssertionFailedError  testRemoveColumnByKey  [CONTEXT]  public  void  removeValue(int  index)  {  this.keys.remove(index);  this.values.remove(index);  [BUGGY]  if(index  <  this.indexMap.size())  {  [BUGGY]  rebuildIndex();  }  }  [CLASS]  DefaultKeyedValues  [METHOD]  removeValue  [RETURN_TYPE]  void  int  index  [VARIABLES]  ArrayList  keys  values  boolean  HashMap  indexMap  long  serialVersionUID  int  index  	projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java	1.0	318	318	4	replace	if(index  <  this.indexMap.size())  {	if  (index  <  this.keys.size())  {  	compilable	  [FE]  AssertionFailedError  testRemoveColumnByKey	5	2	replace
81	[BUG]  [BUGGY]  [FE]  AssertionFailedError  testRemoveColumnByKey  [CONTEXT]  public  void  removeColumn(Comparable  columnKey)  {  Iterator  iterator  =  this.rows.iterator();  while  (iterator.hasNext())  {  DefaultKeyedValues  rowData  =  (DefaultKeyedValues)  iterator.next();  rowData.removeValue(columnKey);  }  this.columnKeys.remove(columnKey);  [BUGGY]    this.rows.remove(columnKey);  [BUGGY]  }  [CLASS]  DefaultKeyedValues2D  [METHOD]  removeColumn  [RETURN_TYPE]  void  Comparable  columnKey  [VARIABLES]  Iterator  iterator  List  columnKeys  rowKeys  rows  Comparable  columnKey  boolean  allNull  sortRowKeys  DefaultKeyedValues  rowData  long  serialVersionUID  	projects/Chart18/source/org/jfree/data/DefaultKeyedValues2D.java	0.7071067811865475	461	461	4	add	    this.rows.remove(columnKey);		compilable	  [FE]  AssertionFailedError  testRemoveColumnByKey	32	2
82	[BUG]  [BUGGY]    this.rows.remove(columnKey);  [FE]  AssertionFailedError  testRemoveColumnByKey  [CONTEXT]  public  void  removeColumn(Comparable  columnKey)  {  Iterator  iterator  =  this.rows.iterator();  while  (iterator.hasNext())  {  DefaultKeyedValues  rowData  =  (DefaultKeyedValues)  iterator.next();  rowData.removeValue(columnKey);  }  this.columnKeys.remove(columnKey);  [BUGGY]    this.rows.remove(columnKey);  [BUGGY]  }  [CLASS]  DefaultKeyedValues2D  [METHOD]  removeColumn  [RETURN_TYPE]  void  Comparable  columnKey  [VARIABLES]  Iterator  iterator  List  columnKeys  rowKeys  rows  Comparable  columnKey  boolean  allNull  sortRowKeys  DefaultKeyedValues  rowData  long  serialVersionUID  	projects/Chart18/source/org/jfree/data/DefaultKeyedValues2D.java	0.7071067811865475	461	461	4	replace	    this.rows.remove(columnKey);		compilable	  [FE]  AssertionFailedError  testRemoveColumnByKey	32	2	add
83	[BUG]  [BUGGY]    this.rowData.removeValue(columnKey);  [CE]  cannot  find  symbol  rowData  [CONTEXT]  public  void  removeColumn(Comparable  columnKey)  {  Iterator  iterator  =  this.rows.iterator();  while  (iterator.hasNext())  {  DefaultKeyedValues  rowData  =  (DefaultKeyedValues)  iterator.next();  rowData.removeValue(columnKey);  }  this.columnKeys.remove(columnKey);  [BUGGY]    this.rowData.removeValue(columnKey);  [BUGGY]  }  [CLASS]  DefaultKeyedValues2D  [METHOD]  removeColumn  [RETURN_TYPE]  void  Comparable  columnKey  [VARIABLES]  Iterator  iterator  List  columnKeys  rowKeys  rows  Comparable  columnKey  boolean  allNull  sortRowKeys  DefaultKeyedValues  rowData  long  serialVersionUID  	projects/Chart18/source/org/jfree/data/DefaultKeyedValues2D.java	0.7071067811865475	461	461	4	replace	    this.rowData.removeValue(columnKey);		non-compiled	[CE]  cannot  find  symbol  rowData	32	None	add
84	[BUG]  [BUGGY]    this.rows.remove(column);  [CE]  cannot  find  symbol  column  [CONTEXT]  public  void  removeColumn(Comparable  columnKey)  {  Iterator  iterator  =  this.rows.iterator();  while  (iterator.hasNext())  {  DefaultKeyedValues  rowData  =  (DefaultKeyedValues)  iterator.next();  rowData.removeValue(columnKey);  }  this.columnKeys.remove(columnKey);  [BUGGY]    this.rows.remove(column);  [BUGGY]  }  [CLASS]  DefaultKeyedValues2D  [METHOD]  removeColumn  [RETURN_TYPE]  void  Comparable  columnKey  [VARIABLES]  Iterator  iterator  List  columnKeys  rowKeys  rows  Comparable  columnKey  boolean  allNull  sortRowKeys  DefaultKeyedValues  rowData  long  serialVersionUID  	projects/Chart18/source/org/jfree/data/DefaultKeyedValues2D.java	0.7071067811865475	461	461	4	replace	    this.rows.remove(column);		non-compiled	[CE]  cannot  find  symbol  column	32	None	add
85	[BUG]  [BUGGY]    this.rows.remove(columnData);  [CE]  cannot  find  symbol  columnData  [CONTEXT]  public  void  removeColumn(Comparable  columnKey)  {  Iterator  iterator  =  this.rows.iterator();  while  (iterator.hasNext())  {  DefaultKeyedValues  rowData  =  (DefaultKeyedValues)  iterator.next();  rowData.removeValue(columnKey);  }  this.columnKeys.remove(columnKey);  [BUGGY]    this.rows.remove(columnData);  [BUGGY]  }  [CLASS]  DefaultKeyedValues2D  [METHOD]  removeColumn  [RETURN_TYPE]  void  Comparable  columnKey  [VARIABLES]  Iterator  iterator  List  columnKeys  rowKeys  rows  Comparable  columnKey  boolean  allNull  sortRowKeys  DefaultKeyedValues  rowData  long  serialVersionUID  	projects/Chart18/source/org/jfree/data/DefaultKeyedValues2D.java	0.7071067811865475	461	461	4	replace	    this.rows.remove(columnData);		non-compiled	[CE]  cannot  find  symbol  columnData	32	None	add
101	[BUG]  [BUGGY]  fireListener();  [CE]  cannot  find  symbol  [CONTEXT]  public  void  removeValue(int  index)  {  this.keys.remove(index);  this.values.remove(index);  if  (index  <  this.keys.size())  {  [BUGGY]  fireListener();  [BUGGY]  }  }  [CLASS]  DefaultKeyedValues  [METHOD]  removeValue  [RETURN_TYPE]  void  int  index  [VARIABLES]  ArrayList  keys  values  boolean  HashMap  indexMap  long  serialVersionUID  int  index  	projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java	0.5	319	319	4	replace	fireListener();	rebuildIndex();  	non-compiled	[CE]  cannot  find  symbol	33	None	replace
102	[BUG]  [BUGGY]  removeAll(this.values.get(index));  [CE]  cannot  find  symbol  [CONTEXT]  public  void  removeValue(int  index)  {  this.keys.remove(index);  this.values.remove(index);  if  (index  <  this.keys.size())  {  [BUGGY]  removeAll(this.values.get(index));  [BUGGY]  }  }  [CLASS]  DefaultKeyedValues  [METHOD]  removeValue  [RETURN_TYPE]  void  int  index  [VARIABLES]  ArrayList  keys  values  boolean  HashMap  indexMap  long  serialVersionUID  int  index  	projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java	0.5	319	319	4	replace	removeAll(this.values.get(index));	rebuildIndex();  	non-compiled	[CE]  cannot  find  symbol	33	None	replace
103	[BUG]  [BUGGY]  fireDatasetChanged();  [CE]  cannot  find  symbol  [CONTEXT]  public  void  removeValue(int  index)  {  this.keys.remove(index);  this.values.remove(index);  if  (index  <  this.keys.size())  {  [BUGGY]  fireDatasetChanged();  [BUGGY]  }  }  [CLASS]  DefaultKeyedValues  [METHOD]  removeValue  [RETURN_TYPE]  void  int  index  [VARIABLES]  ArrayList  keys  values  boolean  HashMap  indexMap  long  serialVersionUID  int  index  	projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java	0.5	319	319	4	replace	fireDatasetChanged();	rebuildIndex();  	non-compiled	[CE]  cannot  find  symbol	33	None	replace
123	[BUG]  [BUGGY]    Arrays.sort(this.values);  [CE]  no  suitable  method  found  for  sort(ArrayList)  [CONTEXT]  private  void  rebuildIndex  ()  {  this.indexMap.clear();  [BUGGY]    Arrays.sort(this.values);  [BUGGY]  for  (int  i  =  0;  i  <  this.keys.size();  i++)  {  final  Object  key  =  this.keys.get(i);  this.indexMap.put(key,  new  Integer(i));  }  }  [CLASS]  DefaultKeyedValues  [METHOD]  rebuildIndex  [RETURN_TYPE]  void  [VARIABLES]  ArrayList  keys  values  Object  key  boolean  HashMap  indexMap  long  serialVersionUID  int  i  	projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java	0.35355339059327373	300	300	4	replace	    Arrays.sort(this.values);		non-compiled	[CE]  no  suitable  method  found  for  sort(ArrayList)	40	None	add
125	[BUG]  [BUGGY]    Validate.notNull(this.values);  [CE]  cannot  find  symbol  Validate  [CONTEXT]  private  void  rebuildIndex  ()  {  this.indexMap.clear();  [BUGGY]    Validate.notNull(this.values);  [BUGGY]  for  (int  i  =  0;  i  <  this.keys.size();  i++)  {  final  Object  key  =  this.keys.get(i);  this.indexMap.put(key,  new  Integer(i));  }  }  [CLASS]  DefaultKeyedValues  [METHOD]  rebuildIndex  [RETURN_TYPE]  void  [VARIABLES]  ArrayList  keys  values  Object  key  boolean  HashMap  indexMap  long  serialVersionUID  int  i  	projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java	0.35355339059327373	300	300	4	replace	    Validate.notNull(this.values);		non-compiled	[CE]  cannot  find  symbol  Validate	40	None	add
141	[BUG]  [BUGGY]    i.put(key,  indexMap);  [CE]  cannot  find  symbol  [CONTEXT]  public  int  getIndex(Comparable  key)  {  if  (key  ==  null)  {  throw  new  IllegalArgumentException( "Null  'key'  argument. ");  }  final  Integer  i  =  (Integer)  this.indexMap.get(key);  if  (i  ==  null)  {  return  -1;//  key  not  found  }  [BUGGY]    i.put(key,  indexMap);  [BUGGY]  return  i.intValue();  }  [CLASS]  DefaultKeyedValues  [METHOD]  getIndex  [RETURN_TYPE]  int  Comparable  key  [VARIABLES]  ArrayList  keys  values  Integer  i  Comparable  key  boolean  HashMap  indexMap  long  serialVersionUID  	projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java	0.3651483716701107	157	157	4	replace	    i.put(key,  indexMap);		non-compiled	[CE]  cannot  find  symbol	36	None	add
142	[BUG]  [BUGGY]    this.keys.put(key,  i);  [CE]  cannot  find  symbol  [CONTEXT]  public  int  getIndex(Comparable  key)  {  if  (key  ==  null)  {  throw  new  IllegalArgumentException( "Null  'key'  argument. ");  }  final  Integer  i  =  (Integer)  this.indexMap.get(key);  if  (i  ==  null)  {  return  -1;//  key  not  found  }  [BUGGY]    this.keys.put(key,  i);  [BUGGY]  return  i.intValue();  }  [CLASS]  DefaultKeyedValues  [METHOD]  getIndex  [RETURN_TYPE]  int  Comparable  key  [VARIABLES]  ArrayList  keys  values  Integer  i  Comparable  key  boolean  HashMap  indexMap  long  serialVersionUID  	projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java	0.3651483716701107	157	157	4	replace	    this.keys.put(key,  i);		non-compiled	[CE]  cannot  find  symbol	36	None	add
143	[BUG]  [BUGGY]    this.keys.put(key,  indexMap);  [CE]  cannot  find  symbol  [CONTEXT]  public  int  getIndex(Comparable  key)  {  if  (key  ==  null)  {  throw  new  IllegalArgumentException( "Null  'key'  argument. ");  }  final  Integer  i  =  (Integer)  this.indexMap.get(key);  if  (i  ==  null)  {  return  -1;//  key  not  found  }  [BUGGY]    this.keys.put(key,  indexMap);  [BUGGY]  return  i.intValue();  }  [CLASS]  DefaultKeyedValues  [METHOD]  getIndex  [RETURN_TYPE]  int  Comparable  key  [VARIABLES]  ArrayList  keys  values  Integer  i  Comparable  key  boolean  HashMap  indexMap  long  serialVersionUID  	projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java	0.3651483716701107	157	157	4	replace	    this.keys.put(key,  indexMap);		non-compiled	[CE]  cannot  find  symbol	36	None	add
162	[BUG]  [BUGGY]    Validate.notEmpty(key);  if(value  ==  null)  {  throw  new  IllegalArgumentException( " ");  }  [CE]  cannot  find  symbol  Validate  [CONTEXT]  public  void  setValue(Comparable  key,  Number  value)  {  [BUGGY]    Validate.notEmpty(key);  if(value  ==  null)  {  throw  new  IllegalArgumentException( " ");  }  [BUGGY]  if  (key  ==  null)  {  throw  new  IllegalArgumentException( "Null  'key'  argument. ");  }  int  keyIndex  =  getIndex(key);  if  (keyIndex  >=  0)  {  this.keys.set(keyIndex,  key);  this.values.set(keyIndex,  value);  }  else  {  this.keys.add(key);  this.values.add(value);  [CLASS]  DefaultKeyedValues  [METHOD]  setValue  [RETURN_TYPE]  void  Comparable  key  Number  value  [VARIABLES]  Comparable  key  boolean  Number  value  HashMap  indexMap  ArrayList  keys  values  long  serialVersionUID  int  keyIndex  	projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java	0.32025630761017426	229	229	4	replace	    Validate.notEmpty(key);  if(value  ==  null)  {  throw  new  IllegalArgumentException( " ");  }		non-compiled	[CE]  cannot  find  symbol  Validate	48	None	add
163	[BUG]  [BUGGY]    int  keyIndex  =  getIndex(key);  [CE]  variable  keyIndex  is  already  defined  in  method  setValue(Comparable,Number)  [CONTEXT]  public  void  setValue(Comparable  key,  Number  value)  {  [BUGGY]    int  keyIndex  =  getIndex(key);  [BUGGY]  if  (key  ==  null)  {  throw  new  IllegalArgumentException( "Null  'key'  argument. ");  }  int  keyIndex  =  getIndex(key);  if  (keyIndex  >=  0)  {  this.keys.set(keyIndex,  key);  this.values.set(keyIndex,  value);  }  else  {  this.keys.add(key);  this.values.add(value);  [CLASS]  DefaultKeyedValues  [METHOD]  setValue  [RETURN_TYPE]  void  Comparable  key  Number  value  [VARIABLES]  Comparable  key  boolean  Number  value  HashMap  indexMap  ArrayList  keys  values  long  serialVersionUID  int  keyIndex  	projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java	0.32025630761017426	229	229	4	replace	    int  keyIndex  =  getIndex(key);		non-compiled	[CE]  variable  keyIndex  is  already  defined  in  method  setValue(Comparable,Number)	48	None	add
165	[BUG]  [BUGGY]    Validate.notEmpty(key);  Validate.notEmpty(value);  [CE]  cannot  find  symbol  Validate  [CONTEXT]  public  void  setValue(Comparable  key,  Number  value)  {  [BUGGY]    Validate.notEmpty(key);  Validate.notEmpty(value);  [BUGGY]  if  (key  ==  null)  {  throw  new  IllegalArgumentException( "Null  'key'  argument. ");  }  int  keyIndex  =  getIndex(key);  if  (keyIndex  >=  0)  {  this.keys.set(keyIndex,  key);  this.values.set(keyIndex,  value);  }  else  {  this.keys.add(key);  this.values.add(value);  [CLASS]  DefaultKeyedValues  [METHOD]  setValue  [RETURN_TYPE]  void  Comparable  key  Number  value  [VARIABLES]  Comparable  key  boolean  Number  value  HashMap  indexMap  ArrayList  keys  values  long  serialVersionUID  int  keyIndex  	projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java	0.32025630761017426	229	229	4	replace	    Validate.notEmpty(key);  Validate.notEmpty(value);		non-compiled	[CE]  cannot  find  symbol  Validate	48	None	add
184	[BUG]  [BUGGY]  [FE]  IllegalArgumentException  testRemoveColumnByKey  [CONTEXT]  public  void  removeValue(Comparable  key)  {  int  index  =  getIndex(key);  if  (index  <  0)  {  [BUGGY]  throw  new  IllegalArgumentException( "Index  is  less  than  1: "  +  this);  [BUGGY]  }  removeValue(index);  }  [CLASS]  DefaultKeyedValues  [METHOD]  removeValue  [RETURN_TYPE]  void  Comparable  key  [VARIABLES]  ArrayList  keys  values  Comparable  key  boolean  HashMap  indexMap  long  serialVersionUID  int  index  	projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java	0.8660254037844387	335	335	4	add	throw  new  IllegalArgumentException( "Index  is  less  than  1: "  +  this);	return;  	compilable	  [FE]  IllegalArgumentException  testRemoveColumnByKey	17	4
185	[BUG]  [BUGGY]  throw  new  IllegalArgumentException( "Index  is  less  than  1: "  +  this);  [FE]  IllegalArgumentException  testRemoveColumnByKey  [CONTEXT]  public  void  removeValue(Comparable  key)  {  int  index  =  getIndex(key);  if  (index  <  0)  {  [BUGGY]  throw  new  IllegalArgumentException( "Index  is  less  than  1: "  +  this);  [BUGGY]  }  removeValue(index);  }  [CLASS]  DefaultKeyedValues  [METHOD]  removeValue  [RETURN_TYPE]  void  Comparable  key  [VARIABLES]  ArrayList  keys  values  Comparable  key  boolean  HashMap  indexMap  long  serialVersionUID  int  index  	projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java	0.8660254037844387	335	335	4	replace	throw  new  IllegalArgumentException( "Index  is  less  than  1: "  +  this);	return;  	compilable	  [FE]  IllegalArgumentException  testRemoveColumnByKey	17	4	replace
202	[BUG]  [BUGGY]  int  index  =  indexMap.get(key);  [CE]  incompatible  types  [CONTEXT]  public  void  removeValue(Comparable  key)  {  [BUGGY]  int  index  =  indexMap.get(key);  [BUGGY]  if  (index  <  0)  {  return;  }  removeValue(index);  }  [CLASS]  DefaultKeyedValues  [METHOD]  removeValue  [RETURN_TYPE]  void  Comparable  key  [VARIABLES]  ArrayList  keys  values  Comparable  key  boolean  HashMap  indexMap  long  serialVersionUID  int  index  	projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java	1.0	333	333	4	replace	int  index  =  indexMap.get(key);	int  index  =  getIndex(key);  	non-compiled	[CE]  incompatible  types	9	None	replace
203	[BUG]  [BUGGY]  int  index  =  indexMap.indexOf(key);  [CE]  cannot  find  symbol  [CONTEXT]  public  void  removeValue(Comparable  key)  {  [BUGGY]  int  index  =  indexMap.indexOf(key);  [BUGGY]  if  (index  <  0)  {  return;  }  removeValue(index);  }  [CLASS]  DefaultKeyedValues  [METHOD]  removeValue  [RETURN_TYPE]  void  Comparable  key  [VARIABLES]  ArrayList  keys  values  Comparable  key  boolean  HashMap  indexMap  long  serialVersionUID  int  index  	projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java	1.0	333	333	4	replace	int  index  =  indexMap.indexOf(key);	int  index  =  getIndex(key);  	non-compiled	[CE]  cannot  find  symbol	9	None	replace
204	[BUG]  [BUGGY]  int  index  =  getIndex(key).indexOf(this);  [CE]  int  cannot  be  dereferenced  [CONTEXT]  public  void  removeValue(Comparable  key)  {  [BUGGY]  int  index  =  getIndex(key).indexOf(this);  [BUGGY]  if  (index  <  0)  {  return;  }  removeValue(index);  }  [CLASS]  DefaultKeyedValues  [METHOD]  removeValue  [RETURN_TYPE]  void  Comparable  key  [VARIABLES]  ArrayList  keys  values  Comparable  key  boolean  HashMap  indexMap  long  serialVersionUID  int  index  	projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java	1.0	333	333	4	replace	int  index  =  getIndex(key).indexOf(this);	int  index  =  getIndex(key);  	non-compiled	[CE]  int  cannot  be  dereferenced	9	None	replace
222	[BUG]  [BUGGY]  DefaultKeyedValues  rowData  =(defaultKeyedValues)iterator.next();  [CE]  cannot  find  symbol  [CONTEXT]  public  void  removeColumn(Comparable  columnKey)  {  Iterator  iterator  =  this.rows.iterator();  while  (iterator.hasNext())  {  [BUGGY]  DefaultKeyedValues  rowData  =(defaultKeyedValues)iterator.next();  [BUGGY]  rowData.removeValue(columnKey);  }  this.columnKeys.remove(columnKey);  }  [CLASS]  DefaultKeyedValues2D  [METHOD]  removeColumn  [RETURN_TYPE]  void  Comparable  columnKey  [VARIABLES]  Iterator  iterator  List  columnKeys  rowKeys  rows  Comparable  columnKey  boolean  allNull  sortRowKeys  DefaultKeyedValues  rowData  long  serialVersionUID  	projects/Chart18/source/org/jfree/data/DefaultKeyedValues2D.java	0.7071067811865475	457	457	4	replace	DefaultKeyedValues  rowData  =(defaultKeyedValues)iterator.next();	DefaultKeyedValues  rowData  =  (DefaultKeyedValues)  iterator.next();  	non-compiled	[CE]  cannot  find  symbol	23	None	replace
224	[BUG]  [BUGGY]  DefaultKeyedValues  rowData  =(DefaultKeyedValues)iterator.previous();  [CE]  cannot  find  symbol  [CONTEXT]  public  void  removeColumn(Comparable  columnKey)  {  Iterator  iterator  =  this.rows.iterator();  while  (iterator.hasNext())  {  [BUGGY]  DefaultKeyedValues  rowData  =(DefaultKeyedValues)iterator.previous();  [BUGGY]  rowData.removeValue(columnKey);  }  this.columnKeys.remove(columnKey);  }  [CLASS]  DefaultKeyedValues2D  [METHOD]  removeColumn  [RETURN_TYPE]  void  Comparable  columnKey  [VARIABLES]  Iterator  iterator  List  columnKeys  rowKeys  rows  Comparable  columnKey  boolean  allNull  sortRowKeys  DefaultKeyedValues  rowData  long  serialVersionUID  	projects/Chart18/source/org/jfree/data/DefaultKeyedValues2D.java	0.7071067811865475	457	457	4	replace	DefaultKeyedValues  rowData  =(DefaultKeyedValues)iterator.previous();	DefaultKeyedValues  rowData  =  (DefaultKeyedValues)  iterator.next();  	non-compiled	[CE]  cannot  find  symbol	23	None	replace
245	[BUG]  [BUGGY]    fireListenerChanged();  [CE]  cannot  find  symbol  [CONTEXT]  private  void  rebuildIndex  ()  {  this.indexMap.clear();  for  (int  i  =  0;  i  <  this.keys.size();  i++)  {  final  Object  key  =  this.keys.get(i);  this.indexMap.put(key,  new  Integer(i));  }  [BUGGY]    fireListenerChanged();  [BUGGY]  }  [CLASS]  DefaultKeyedValues  [METHOD]  rebuildIndex  [RETURN_TYPE]  void  [VARIABLES]  ArrayList  keys  values  Object  key  boolean  HashMap  indexMap  long  serialVersionUID  int  i  	projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java	0.35355339059327373	304	304	4	replace	    fireListenerChanged();		non-compiled	[CE]  cannot  find  symbol	46	None	add
262	[BUG]  [BUGGY]  [FE]  java.lang.IndexOutOfBoundsException:  Index:  0  testRemoveColumnByKey  [CONTEXT]  public  void  setValue(Comparable  key,  Number  value)  {  [BUGGY]  if(key  ==  null  ||  key.equals(value))  {  [BUGGY]  throw  new  IllegalArgumentException( "Null  'key'  argument. ");  }  int  keyIndex  =  getIndex(key);  if  (keyIndex  >=  0)  {  this.keys.set(keyIndex,  key);  this.values.set(keyIndex,  value);  }  else  {  this.keys.add(key);  this.values.add(value);  [CLASS]  DefaultKeyedValues  [METHOD]  setValue  [RETURN_TYPE]  void  Comparable  key  Number  value  [VARIABLES]  Comparable  key  boolean  Number  value  HashMap  indexMap  ArrayList  keys  values  long  serialVersionUID  int  keyIndex  	projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java	0.32025630761017426	229	229	4	add	if(key  ==  null  ||  key.equals(value))  {	if  (key  ==  null)  {  	compilable	  [FE]  java.lang.IndexOutOfBoundsException:  Index:  0  testRemoveColumnByKey	47	4
263	[BUG]  [BUGGY]  if(key  ==  null  ||  key.equals(value))  {  [FE]  java.lang.IndexOutOfBoundsException:  Index:  0  testRemoveColumnByKey  [CONTEXT]  public  void  setValue(Comparable  key,  Number  value)  {  [BUGGY]  if(key  ==  null  ||  key.equals(value))  {  [BUGGY]  throw  new  IllegalArgumentException( "Null  'key'  argument. ");  }  int  keyIndex  =  getIndex(key);  if  (keyIndex  >=  0)  {  this.keys.set(keyIndex,  key);  this.values.set(keyIndex,  value);  }  else  {  this.keys.add(key);  this.values.add(value);  [CLASS]  DefaultKeyedValues  [METHOD]  setValue  [RETURN_TYPE]  void  Comparable  key  Number  value  [VARIABLES]  Comparable  key  boolean  Number  value  HashMap  indexMap  ArrayList  keys  values  long  serialVersionUID  int  keyIndex  	projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java	0.32025630761017426	229	229	4	replace	if(key  ==  null  ||  key.equals(value))  {	if  (key  ==  null)  {  	compilable	  [FE]  java.lang.IndexOutOfBoundsException:  Index:  0  testRemoveColumnByKey	47	4	replace
