bugid	buggy	buggy_class	suspiciousness	buggy_line	endbuggycode	original_failing_test_number	action	patch	original_buggy	execution_result	diagnosis	previous_bug_id	new_failing_test_number
this_action1	[BUG]  [BUGGY]  [FE]  IllegalArgumentException  testSmallDegreesOfFreedom  [CONTEXT]  protected  double  getDomainLowerBound(double  p)  {  [BUGGY]  return  0.0  /  denominatorDegreesOfFreedom  *  getNumeratorDegreesOfFreedom();  [BUGGY]  }  [CLASS]  FDistributionImpl  [METHOD]  getDomainLowerBound  [RETURN_TYPE]  double  double  p  [VARIABLES]  double  denominatorDegreesOfFreedom  m  n  numeratorDegreesOfFreedom  p  ret  x  long  serialVersionUID  boolean  	projects/Math95/src/java/org/apache/commons/math/distribution/FDistributionImpl.java	0.5773502691896258	119	119	1	add	return  0.0  /  denominatorDegreesOfFreedom  *  getNumeratorDegreesOfFreedom();	return  0.0;  	compilable	  [FE]  IllegalArgumentException  testSmallDegreesOfFreedom	1	1
103	[BUG]  [BUGGY]  [FE]  IllegalArgumentException  testSmallDegreesOfFreedom  [CONTEXT]  public  double  inverseCumulativeProbability(final  double  p)  throws  MathException  {  [BUGGY]  if(p  ==  0  ||  p  ==  Integer.MAX_VALUE)  {  [BUGGY]  return  0d;  }  if  (p  ==  1)  {  return  Double.POSITIVE_INFINITY;  }  return  super.inverseCumulativeProbability(p);  }  [CLASS]  FDistributionImpl  [METHOD]  inverseCumulativeProbability  [RETURN_TYPE]  double  final  double  p  [VARIABLES]  double  denominatorDegreesOfFreedom  m  n  numeratorDegreesOfFreedom  p  ret  x  long  serialVersionUID  boolean  	projects/Math95/src/java/org/apache/commons/math/distribution/FDistributionImpl.java	0.4472135954999579	100	100	1	add	if(p  ==  0  ||  p  ==  Integer.MAX_VALUE)  {	if  (p  ==  0)  {  	compilable	  [FE]  IllegalArgumentException  testSmallDegreesOfFreedom	19	1
104	[BUG]  [BUGGY]  if(p  ==  0  ||  p  ==  Integer.MAX_VALUE)  {  [FE]  IllegalArgumentException  testSmallDegreesOfFreedom  [CONTEXT]  public  double  inverseCumulativeProbability(final  double  p)  throws  MathException  {  [BUGGY]  if(p  ==  0  ||  p  ==  Integer.MAX_VALUE)  {  [BUGGY]  return  0d;  }  if  (p  ==  1)  {  return  Double.POSITIVE_INFINITY;  }  return  super.inverseCumulativeProbability(p);  }  [CLASS]  FDistributionImpl  [METHOD]  inverseCumulativeProbability  [RETURN_TYPE]  double  final  double  p  [VARIABLES]  double  denominatorDegreesOfFreedom  m  n  numeratorDegreesOfFreedom  p  ret  x  long  serialVersionUID  boolean  	projects/Math95/src/java/org/apache/commons/math/distribution/FDistributionImpl.java	0.4472135954999579	100	100	1	replace	if(p  ==  0  ||  p  ==  Integer.MAX_VALUE)  {	if  (p  ==  0)  {  	compilable	  [FE]  IllegalArgumentException  testSmallDegreesOfFreedom	19	1	replace
104	[BUG]  [BUGGY]  [FE]  IllegalArgumentException  testSmallDegreesOfFreedom  [CONTEXT]  public  double  inverseCumulativeProbability(final  double  p)  throws  MathException  {  [BUGGY]  if(p  ==  0  ||  p  ==  Integer.MIN_VALUE)  {  [BUGGY]  return  0d;  }  if  (p  ==  1)  {  return  Double.POSITIVE_INFINITY;  }  return  super.inverseCumulativeProbability(p);  }  [CLASS]  FDistributionImpl  [METHOD]  inverseCumulativeProbability  [RETURN_TYPE]  double  final  double  p  [VARIABLES]  double  denominatorDegreesOfFreedom  m  n  numeratorDegreesOfFreedom  p  ret  x  long  serialVersionUID  boolean  	projects/Math95/src/java/org/apache/commons/math/distribution/FDistributionImpl.java	0.4472135954999579	100	100	1	add	if(p  ==  0  ||  p  ==  Integer.MIN_VALUE)  {	if  (p  ==  0)  {  	compilable	  [FE]  IllegalArgumentException  testSmallDegreesOfFreedom	19	1
105	[BUG]  [BUGGY]  if(p  ==  0  ||  p  ==  Integer.MIN_VALUE)  {  [FE]  IllegalArgumentException  testSmallDegreesOfFreedom  [CONTEXT]  public  double  inverseCumulativeProbability(final  double  p)  throws  MathException  {  [BUGGY]  if(p  ==  0  ||  p  ==  Integer.MIN_VALUE)  {  [BUGGY]  return  0d;  }  if  (p  ==  1)  {  return  Double.POSITIVE_INFINITY;  }  return  super.inverseCumulativeProbability(p);  }  [CLASS]  FDistributionImpl  [METHOD]  inverseCumulativeProbability  [RETURN_TYPE]  double  final  double  p  [VARIABLES]  double  denominatorDegreesOfFreedom  m  n  numeratorDegreesOfFreedom  p  ret  x  long  serialVersionUID  boolean  	projects/Math95/src/java/org/apache/commons/math/distribution/FDistributionImpl.java	0.4472135954999579	100	100	1	replace	if(p  ==  0  ||  p  ==  Integer.MIN_VALUE)  {	if  (p  ==  0)  {  	compilable	  [FE]  IllegalArgumentException  testSmallDegreesOfFreedom	19	1	replace
123	[BUG]  [BUGGY]  double  d  =  getDenominatorDegreesOfFreedom()  *  getNumberDegreesOfFreedom();  [CE]  cannot  find  symbol  [CONTEXT]  protected  double  getInitialDomain(double  p)  {  double  ret;  [BUGGY]  double  d  =  getDenominatorDegreesOfFreedom()  *  getNumberDegreesOfFreedom();  [BUGGY]    ret  =  d  /  (d  -  2.0);  return  ret;  }  [CLASS]  FDistributionImpl  [METHOD]  getInitialDomain  [RETURN_TYPE]  double  double  p  [VARIABLES]  double  d  denominatorDegreesOfFreedom  m  n  numeratorDegreesOfFreedom  p  ret  x  long  serialVersionUID  boolean  	projects/Math95/src/java/org/apache/commons/math/distribution/FDistributionImpl.java	0.5773502691896258	145	145	1	replace	double  d  =  getDenominatorDegreesOfFreedom()  *  getNumberDegreesOfFreedom();	double  d  =  getDenominatorDegreesOfFreedom();  	non-compiled	[CE]  cannot  find  symbol	5	None	replace
124	[BUG]  [BUGGY]  [FE]  IllegalArgumentException  testSmallDegreesOfFreedom  [CONTEXT]  protected  double  getInitialDomain(double  p)  {  double  ret;  [BUGGY]  double  d  =  getDenominatorDegreesOfFreedom()  -  1;  [BUGGY]    ret  =  d  /  (d  -  2.0);  return  ret;  }  [CLASS]  FDistributionImpl  [METHOD]  getInitialDomain  [RETURN_TYPE]  double  double  p  [VARIABLES]  double  d  denominatorDegreesOfFreedom  m  n  numeratorDegreesOfFreedom  p  ret  x  long  serialVersionUID  boolean  	projects/Math95/src/java/org/apache/commons/math/distribution/FDistributionImpl.java	0.5773502691896258	145	145	1	add	double  d  =  getDenominatorDegreesOfFreedom()  -  1;	double  d  =  getDenominatorDegreesOfFreedom();  	compilable	  [FE]  IllegalArgumentException  testSmallDegreesOfFreedom	5	1
125	[BUG]  [BUGGY]  double  d  =  getDenominatorDegreesOfFreedom()  -  1;  [FE]  IllegalArgumentException  testSmallDegreesOfFreedom  [CONTEXT]  protected  double  getInitialDomain(double  p)  {  double  ret;  [BUGGY]  double  d  =  getDenominatorDegreesOfFreedom()  -  1;  [BUGGY]    ret  =  d  /  (d  -  2.0);  return  ret;  }  [CLASS]  FDistributionImpl  [METHOD]  getInitialDomain  [RETURN_TYPE]  double  double  p  [VARIABLES]  double  d  denominatorDegreesOfFreedom  m  n  numeratorDegreesOfFreedom  p  ret  x  long  serialVersionUID  boolean  	projects/Math95/src/java/org/apache/commons/math/distribution/FDistributionImpl.java	0.5773502691896258	145	145	1	replace	double  d  =  getDenominatorDegreesOfFreedom()  -  1;	double  d  =  getDenominatorDegreesOfFreedom();  	compilable	  [FE]  IllegalArgumentException  testSmallDegreesOfFreedom	5	1	replace
144	[BUG]  [BUGGY]  [FE]  IllegalArgumentException  testSmallDegreesOfFreedom  [CONTEXT]  protected  double  getInitialDomain(double  p)  {  double  ret;  double  d  =  getDenominatorDegreesOfFreedom();  ret  =  d  /  (d  -  2.0);  [BUGGY]  return  ret  *  denominatorDegreesOfFreedom  +  p;  [BUGGY]  }  [CLASS]  FDistributionImpl  [METHOD]  getInitialDomain  [RETURN_TYPE]  double  double  p  [VARIABLES]  double  d  denominatorDegreesOfFreedom  m  n  numeratorDegreesOfFreedom  p  ret  x  long  serialVersionUID  boolean  	projects/Math95/src/java/org/apache/commons/math/distribution/FDistributionImpl.java	0.5773502691896258	148	148	1	add	return  ret  *  denominatorDegreesOfFreedom  +  p;	return  ret;  	compilable	  [FE]  IllegalArgumentException  testSmallDegreesOfFreedom	9	1
145	[BUG]  [BUGGY]  return  ret  *  denominatorDegreesOfFreedom  +  p;  [FE]  IllegalArgumentException  testSmallDegreesOfFreedom  [CONTEXT]  protected  double  getInitialDomain(double  p)  {  double  ret;  double  d  =  getDenominatorDegreesOfFreedom();  ret  =  d  /  (d  -  2.0);  [BUGGY]  return  ret  *  denominatorDegreesOfFreedom  +  p;  [BUGGY]  }  [CLASS]  FDistributionImpl  [METHOD]  getInitialDomain  [RETURN_TYPE]  double  double  p  [VARIABLES]  double  d  denominatorDegreesOfFreedom  m  n  numeratorDegreesOfFreedom  p  ret  x  long  serialVersionUID  boolean  	projects/Math95/src/java/org/apache/commons/math/distribution/FDistributionImpl.java	0.5773502691896258	148	148	1	replace	return  ret  *  denominatorDegreesOfFreedom  +  p;	return  ret;  	compilable	  [FE]  IllegalArgumentException  testSmallDegreesOfFreedom	9	1	replace
164	[BUG]  [BUGGY]  return  super.inverseCumulativeProbability(p,  p);  [CE]  no  suitable  method  found  for  inverseCumulativeProbability(double,double)  [CONTEXT]  public  double  inverseCumulativeProbability(final  double  p)  throws  MathException  {  if  (p  ==  0)  {  return  0d;  }  if  (p  ==  1)  {  return  Double.POSITIVE_INFINITY;  }  [BUGGY]  return  super.inverseCumulativeProbability(p,  p);  [BUGGY]  }  [CLASS]  FDistributionImpl  [METHOD]  inverseCumulativeProbability  [RETURN_TYPE]  double  final  double  p  [VARIABLES]  double  denominatorDegreesOfFreedom  m  n  numeratorDegreesOfFreedom  p  ret  x  long  serialVersionUID  boolean  	projects/Math95/src/java/org/apache/commons/math/distribution/FDistributionImpl.java	0.5	106	106	1	replace	return  super.inverseCumulativeProbability(p,  p);	return  super.inverseCumulativeProbability(p);  	non-compiled	[CE]  no  suitable  method  found  for  inverseCumulativeProbability(double,double)	11	None	replace
184	[BUG]  [BUGGY]    n  =  getNumberDegreesOfFreedom();  [CE]  cannot  find  symbol  [CONTEXT]  public  double  cumulativeProbability(double  x)  throws  MathException  {  double  ret;  if  (x  <=  0.0)  {  ret  =  0.0;  }  else  {  double  n  =  getNumeratorDegreesOfFreedom();  double  m  =  getDenominatorDegreesOfFreedom();  [BUGGY]    n  =  getNumberDegreesOfFreedom();  [BUGGY]  ret  =  Beta.regularizedBeta((n  *  x)  /  (m  +  n  *  x),    0.5  *  n,        0.5  *  m);  0.5  *  n,  0.5  *  m);  }  return  ret;  }  [CLASS]  FDistributionImpl  [METHOD]  cumulativeProbability  [RETURN_TYPE]  double  double  x  [VARIABLES]  double  denominatorDegreesOfFreedom  m  n  numeratorDegreesOfFreedom  ret  x  long  serialVersionUID  boolean  	projects/Math95/src/java/org/apache/commons/math/distribution/FDistributionImpl.java	0.4472135954999579	78	80	1	replace	    n  =  getNumberDegreesOfFreedom();		non-compiled	[CE]  cannot  find  symbol	18	None	add
201	[BUG]  [BUGGY]  [FE]  IllegalArgumentException  testSmallDegreesOfFreedom  [CONTEXT]  protected  double  getDomainLowerBound(double  p)  {  [BUGGY]  return(p  <.5)?  0.0  :  p;  [BUGGY]  }  [CLASS]  FDistributionImpl  [METHOD]  getDomainLowerBound  [RETURN_TYPE]  double  double  p  [VARIABLES]  double  denominatorDegreesOfFreedom  m  n  numeratorDegreesOfFreedom  p  ret  x  long  serialVersionUID  boolean  	projects/Math95/src/java/org/apache/commons/math/distribution/FDistributionImpl.java	0.5773502691896258	119	119	1	add	return(p  <.5)?  0.0  :  p;	return  0.0;  	compilable	  [FE]  IllegalArgumentException  testSmallDegreesOfFreedom	1	1
202	[BUG]  [BUGGY]  return(p  <.5)?  0.0  :  p;  [FE]  IllegalArgumentException  testSmallDegreesOfFreedom  [CONTEXT]  protected  double  getDomainLowerBound(double  p)  {  [BUGGY]  return(p  <.5)?  0.0  :  p;  [BUGGY]  }  [CLASS]  FDistributionImpl  [METHOD]  getDomainLowerBound  [RETURN_TYPE]  double  double  p  [VARIABLES]  double  denominatorDegreesOfFreedom  m  n  numeratorDegreesOfFreedom  p  ret  x  long  serialVersionUID  boolean  	projects/Math95/src/java/org/apache/commons/math/distribution/FDistributionImpl.java	0.5773502691896258	119	119	1	replace	return(p  <.5)?  0.0  :  p;	return  0.0;  	compilable	  [FE]  IllegalArgumentException  testSmallDegreesOfFreedom	1	1	replace
204	[BUG]  [BUGGY]  [FE]  IllegalArgumentException  testSmallDegreesOfFreedom  [CONTEXT]  protected  double  getDomainLowerBound(double  p)  {  [BUGGY]  return(p  <.5)?  0.0  :  -p;  [BUGGY]  }  [CLASS]  FDistributionImpl  [METHOD]  getDomainLowerBound  [RETURN_TYPE]  double  double  p  [VARIABLES]  double  denominatorDegreesOfFreedom  m  n  numeratorDegreesOfFreedom  p  ret  x  long  serialVersionUID  boolean  	projects/Math95/src/java/org/apache/commons/math/distribution/FDistributionImpl.java	0.5773502691896258	119	119	1	add	return(p  <.5)?  0.0  :  -p;	return  0.0;  	compilable	  [FE]  IllegalArgumentException  testSmallDegreesOfFreedom	1	1
205	[BUG]  [BUGGY]  return(p  <.5)?  0.0  :  -p;  [FE]  IllegalArgumentException  testSmallDegreesOfFreedom  [CONTEXT]  protected  double  getDomainLowerBound(double  p)  {  [BUGGY]  return(p  <.5)?  0.0  :  -p;  [BUGGY]  }  [CLASS]  FDistributionImpl  [METHOD]  getDomainLowerBound  [RETURN_TYPE]  double  double  p  [VARIABLES]  double  denominatorDegreesOfFreedom  m  n  numeratorDegreesOfFreedom  p  ret  x  long  serialVersionUID  boolean  	projects/Math95/src/java/org/apache/commons/math/distribution/FDistributionImpl.java	0.5773502691896258	119	119	1	replace	return(p  <.5)?  0.0  :  -p;	return  0.0;  	compilable	  [FE]  IllegalArgumentException  testSmallDegreesOfFreedom	1	1	replace
241	[BUG]  [BUGGY]    final  double  p  =  getDenominatorDegreesOfFreedom();  [CE]  variable  p  is  already  defined  in  method  inverseCumulativeProbability(double)  [CONTEXT]  public  double  inverseCumulativeProbability(final  double  p)  throws  MathException  {  [BUGGY]    final  double  p  =  getDenominatorDegreesOfFreedom();  [BUGGY]  if  (p  ==  0)  {  return  0d;  }  if  (p  ==  1)  {  return  Double.POSITIVE_INFINITY;  }  return  super.inverseCumulativeProbability(p);  }  [CLASS]  FDistributionImpl  [METHOD]  inverseCumulativeProbability  [RETURN_TYPE]  double  final  double  p  [VARIABLES]  double  denominatorDegreesOfFreedom  m  n  numeratorDegreesOfFreedom  p  ret  x  long  serialVersionUID  boolean  	projects/Math95/src/java/org/apache/commons/math/distribution/FDistributionImpl.java	0.4472135954999579	100	100	1	replace	    final  double  p  =  getDenominatorDegreesOfFreedom();		non-compiled	[CE]  variable  p  is  already  defined  in  method  inverseCumulativeProbability(double)	20	None	add
242	[BUG]  [BUGGY]    final  double  p  =  getNumeratorDegreesOfFreedom();  [CE]  variable  p  is  already  defined  in  method  inverseCumulativeProbability(double)  [CONTEXT]  public  double  inverseCumulativeProbability(final  double  p)  throws  MathException  {  [BUGGY]    final  double  p  =  getNumeratorDegreesOfFreedom();  [BUGGY]  if  (p  ==  0)  {  return  0d;  }  if  (p  ==  1)  {  return  Double.POSITIVE_INFINITY;  }  return  super.inverseCumulativeProbability(p);  }  [CLASS]  FDistributionImpl  [METHOD]  inverseCumulativeProbability  [RETURN_TYPE]  double  final  double  p  [VARIABLES]  double  denominatorDegreesOfFreedom  m  n  numeratorDegreesOfFreedom  p  ret  x  long  serialVersionUID  boolean  	projects/Math95/src/java/org/apache/commons/math/distribution/FDistributionImpl.java	0.4472135954999579	100	100	1	replace	    final  double  p  =  getNumeratorDegreesOfFreedom();		non-compiled	[CE]  variable  p  is  already  defined  in  method  inverseCumulativeProbability(double)	20	None	add
243	[BUG]  [BUGGY]    final  double  p  =  getDenominatorDegreesOfFreedom().inverseCumulativeProbability(p);  [CE]  variable  p  is  already  defined  in  method  inverseCumulativeProbability(double)  [CONTEXT]  public  double  inverseCumulativeProbability(final  double  p)  throws  MathException  {  [BUGGY]    final  double  p  =  getDenominatorDegreesOfFreedom().inverseCumulativeProbability(p);  [BUGGY]  if  (p  ==  0)  {  return  0d;  }  if  (p  ==  1)  {  return  Double.POSITIVE_INFINITY;  }  return  super.inverseCumulativeProbability(p);  }  [CLASS]  FDistributionImpl  [METHOD]  inverseCumulativeProbability  [RETURN_TYPE]  double  final  double  p  [VARIABLES]  double  denominatorDegreesOfFreedom  m  n  numeratorDegreesOfFreedom  p  ret  x  long  serialVersionUID  boolean  	projects/Math95/src/java/org/apache/commons/math/distribution/FDistributionImpl.java	0.4472135954999579	100	100	1	replace	    final  double  p  =  getDenominatorDegreesOfFreedom().inverseCumulativeProbability(p);		non-compiled	[CE]  variable  p  is  already  defined  in  method  inverseCumulativeProbability(double)	20	None	add
244	[BUG]  [BUGGY]    final  double  p  =  getNumeratorDegreesOfFreedom().inverseCumulativeProbability(p);  [CE]  variable  p  is  already  defined  in  method  inverseCumulativeProbability(double)  [CONTEXT]  public  double  inverseCumulativeProbability(final  double  p)  throws  MathException  {  [BUGGY]    final  double  p  =  getNumeratorDegreesOfFreedom().inverseCumulativeProbability(p);  [BUGGY]  if  (p  ==  0)  {  return  0d;  }  if  (p  ==  1)  {  return  Double.POSITIVE_INFINITY;  }  return  super.inverseCumulativeProbability(p);  }  [CLASS]  FDistributionImpl  [METHOD]  inverseCumulativeProbability  [RETURN_TYPE]  double  final  double  p  [VARIABLES]  double  denominatorDegreesOfFreedom  m  n  numeratorDegreesOfFreedom  p  ret  x  long  serialVersionUID  boolean  	projects/Math95/src/java/org/apache/commons/math/distribution/FDistributionImpl.java	0.4472135954999579	100	100	1	replace	    final  double  p  =  getNumeratorDegreesOfFreedom().inverseCumulativeProbability(p);		non-compiled	[CE]  variable  p  is  already  defined  in  method  inverseCumulativeProbability(double)	20	None	add
245	[BUG]  [BUGGY]    final  double  p  =  getNumberDegreesOfFreedom();  [CE]  variable  p  is  already  defined  in  method  inverseCumulativeProbability(double)  [CONTEXT]  public  double  inverseCumulativeProbability(final  double  p)  throws  MathException  {  [BUGGY]    final  double  p  =  getNumberDegreesOfFreedom();  [BUGGY]  if  (p  ==  0)  {  return  0d;  }  if  (p  ==  1)  {  return  Double.POSITIVE_INFINITY;  }  return  super.inverseCumulativeProbability(p);  }  [CLASS]  FDistributionImpl  [METHOD]  inverseCumulativeProbability  [RETURN_TYPE]  double  final  double  p  [VARIABLES]  double  denominatorDegreesOfFreedom  m  n  numeratorDegreesOfFreedom  p  ret  x  long  serialVersionUID  boolean  	projects/Math95/src/java/org/apache/commons/math/distribution/FDistributionImpl.java	0.4472135954999579	100	100	1	replace	    final  double  p  =  getNumberDegreesOfFreedom();		non-compiled	[CE]  variable  p  is  already  defined  in  method  inverseCumulativeProbability(double)	20	None	add
262	[BUG]  [BUGGY]  return  Double.MIN_VALUE,  Double.MAX_VALUE;  [CE]  ';'  expected  [CONTEXT]  protected  double  getDomainUpperBound(double  p)  {  [BUGGY]  return  Double.MIN_VALUE,  Double.MAX_VALUE;  [BUGGY]  }  [CLASS]  FDistributionImpl  [METHOD]  getDomainUpperBound  [RETURN_TYPE]  double  double  p  [VARIABLES]  double  denominatorDegreesOfFreedom  m  n  numeratorDegreesOfFreedom  p  ret  x  long  serialVersionUID  boolean  	projects/Math95/src/java/org/apache/commons/math/distribution/FDistributionImpl.java	0.5773502691896258	132	132	1	replace	return  Double.MIN_VALUE,  Double.MAX_VALUE;	return  Double.MAX_VALUE;  	non-compiled	[CE]  ';'  expected	3	None	replace
263	[BUG]  [BUGGY]  [FE]  IllegalArgumentException  testSmallDegreesOfFreedom  [CONTEXT]  protected  double  getDomainUpperBound(double  p)  {  [BUGGY]  return  Double.MAX_VALUE  -  getDomainLowerBound(p);  [BUGGY]  }  [CLASS]  FDistributionImpl  [METHOD]  getDomainUpperBound  [RETURN_TYPE]  double  double  p  [VARIABLES]  double  denominatorDegreesOfFreedom  m  n  numeratorDegreesOfFreedom  p  ret  x  long  serialVersionUID  boolean  	projects/Math95/src/java/org/apache/commons/math/distribution/FDistributionImpl.java	0.5773502691896258	132	132	1	add	return  Double.MAX_VALUE  -  getDomainLowerBound(p);	return  Double.MAX_VALUE;  	compilable	  [FE]  IllegalArgumentException  testSmallDegreesOfFreedom	3	1
264	[BUG]  [BUGGY]  return  Double.MAX_VALUE  -  getDomainLowerBound(p);  [FE]  IllegalArgumentException  testSmallDegreesOfFreedom  [CONTEXT]  protected  double  getDomainUpperBound(double  p)  {  [BUGGY]  return  Double.MAX_VALUE  -  getDomainLowerBound(p);  [BUGGY]  }  [CLASS]  FDistributionImpl  [METHOD]  getDomainUpperBound  [RETURN_TYPE]  double  double  p  [VARIABLES]  double  denominatorDegreesOfFreedom  m  n  numeratorDegreesOfFreedom  p  ret  x  long  serialVersionUID  boolean  	projects/Math95/src/java/org/apache/commons/math/distribution/FDistributionImpl.java	0.5773502691896258	132	132	1	replace	return  Double.MAX_VALUE  -  getDomainLowerBound(p);	return  Double.MAX_VALUE;  	compilable	  [FE]  IllegalArgumentException  testSmallDegreesOfFreedom	3	1	replace
282	[BUG]  [BUGGY]  [FE]  IllegalArgumentException  testSmallDegreesOfFreedom  [CONTEXT]  public  double  cumulativeProbability(double  x)  throws  MathException  {  double  ret;  if  (x  <=  0.0)  {  ret  =  0.0;  }  else  {  double  n  =  getNumeratorDegreesOfFreedom();  [BUGGY]    ret  =  1.0  /  getDenominatorDegreesOfFreedom();  [BUGGY]  double  m  =  getDenominatorDegreesOfFreedom();  ret  =  Beta.regularizedBeta((n  *  x)  /  (m  +  n  *  x),  0.5  *  n,  0.5  *  m);  }  return  ret;  }  [CLASS]  FDistributionImpl  [METHOD]  cumulativeProbability  [RETURN_TYPE]  double  double  x  [VARIABLES]  double  denominatorDegreesOfFreedom  m  n  numeratorDegreesOfFreedom  ret  x  long  serialVersionUID  boolean  	projects/Math95/src/java/org/apache/commons/math/distribution/FDistributionImpl.java	0.4472135954999579	76	76	1	add	    ret  =  1.0  /  getDenominatorDegreesOfFreedom();		compilable	  [FE]  IllegalArgumentException  testSmallDegreesOfFreedom	16	1
283	[BUG]  [BUGGY]    ret  =  1.0  /  getDenominatorDegreesOfFreedom();  [FE]  IllegalArgumentException  testSmallDegreesOfFreedom  [CONTEXT]  public  double  cumulativeProbability(double  x)  throws  MathException  {  double  ret;  if  (x  <=  0.0)  {  ret  =  0.0;  }  else  {  double  n  =  getNumeratorDegreesOfFreedom();  [BUGGY]    ret  =  1.0  /  getDenominatorDegreesOfFreedom();  [BUGGY]  double  m  =  getDenominatorDegreesOfFreedom();  ret  =  Beta.regularizedBeta((n  *  x)  /  (m  +  n  *  x),  0.5  *  n,  0.5  *  m);  }  return  ret;  }  [CLASS]  FDistributionImpl  [METHOD]  cumulativeProbability  [RETURN_TYPE]  double  double  x  [VARIABLES]  double  denominatorDegreesOfFreedom  m  n  numeratorDegreesOfFreedom  ret  x  long  serialVersionUID  boolean  	projects/Math95/src/java/org/apache/commons/math/distribution/FDistributionImpl.java	0.4472135954999579	76	76	1	replace	    ret  =  1.0  /  getDenominatorDegreesOfFreedom();		compilable	  [FE]  IllegalArgumentException  testSmallDegreesOfFreedom	16	1	add
283	[BUG]  [BUGGY]  [FE]  IllegalArgumentException  testSmallDegreesOfFreedom  [CONTEXT]  public  double  cumulativeProbability(double  x)  throws  MathException  {  double  ret;  if  (x  <=  0.0)  {  ret  =  0.0;  }  else  {  double  n  =  getNumeratorDegreesOfFreedom();  [BUGGY]    ret  =  Math.exp(-x  +(n  *  getDenominatorDegreesOfFreedom()));  [BUGGY]  double  m  =  getDenominatorDegreesOfFreedom();  ret  =  Beta.regularizedBeta((n  *  x)  /  (m  +  n  *  x),  0.5  *  n,  0.5  *  m);  }  return  ret;  }  [CLASS]  FDistributionImpl  [METHOD]  cumulativeProbability  [RETURN_TYPE]  double  double  x  [VARIABLES]  double  denominatorDegreesOfFreedom  m  n  numeratorDegreesOfFreedom  ret  x  long  serialVersionUID  boolean  	projects/Math95/src/java/org/apache/commons/math/distribution/FDistributionImpl.java	0.4472135954999579	76	76	1	add	    ret  =  Math.exp(-x  +(n  *  getDenominatorDegreesOfFreedom()));		compilable	  [FE]  IllegalArgumentException  testSmallDegreesOfFreedom	16	1
284	[BUG]  [BUGGY]    ret  =  Math.exp(-x  +(n  *  getDenominatorDegreesOfFreedom()));  [FE]  IllegalArgumentException  testSmallDegreesOfFreedom  [CONTEXT]  public  double  cumulativeProbability(double  x)  throws  MathException  {  double  ret;  if  (x  <=  0.0)  {  ret  =  0.0;  }  else  {  double  n  =  getNumeratorDegreesOfFreedom();  [BUGGY]    ret  =  Math.exp(-x  +(n  *  getDenominatorDegreesOfFreedom()));  [BUGGY]  double  m  =  getDenominatorDegreesOfFreedom();  ret  =  Beta.regularizedBeta((n  *  x)  /  (m  +  n  *  x),  0.5  *  n,  0.5  *  m);  }  return  ret;  }  [CLASS]  FDistributionImpl  [METHOD]  cumulativeProbability  [RETURN_TYPE]  double  double  x  [VARIABLES]  double  denominatorDegreesOfFreedom  m  n  numeratorDegreesOfFreedom  ret  x  long  serialVersionUID  boolean  	projects/Math95/src/java/org/apache/commons/math/distribution/FDistributionImpl.java	0.4472135954999579	76	76	1	replace	    ret  =  Math.exp(-x  +(n  *  getDenominatorDegreesOfFreedom()));		compilable	  [FE]  IllegalArgumentException  testSmallDegreesOfFreedom	16	1	add
284	[BUG]  [BUGGY]  [FE]  IllegalArgumentException  testSmallDegreesOfFreedom  [CONTEXT]  public  double  cumulativeProbability(double  x)  throws  MathException  {  double  ret;  if  (x  <=  0.0)  {  ret  =  0.0;  }  else  {  double  n  =  getNumeratorDegreesOfFreedom();  [BUGGY]    ret  =  1.0  /  getDenominatorDegreesOfFreedom()  *  Math.pow(x,  n);  [BUGGY]  double  m  =  getDenominatorDegreesOfFreedom();  ret  =  Beta.regularizedBeta((n  *  x)  /  (m  +  n  *  x),  0.5  *  n,  0.5  *  m);  }  return  ret;  }  [CLASS]  FDistributionImpl  [METHOD]  cumulativeProbability  [RETURN_TYPE]  double  double  x  [VARIABLES]  double  denominatorDegreesOfFreedom  m  n  numeratorDegreesOfFreedom  ret  x  long  serialVersionUID  boolean  	projects/Math95/src/java/org/apache/commons/math/distribution/FDistributionImpl.java	0.4472135954999579	76	76	1	add	    ret  =  1.0  /  getDenominatorDegreesOfFreedom()  *  Math.pow(x,  n);		compilable	  [FE]  IllegalArgumentException  testSmallDegreesOfFreedom	16	1
