bugid	buggy	buggy_class	suspiciousness	buggy_line	endbuggycode	original_failing_test_number	action	patch	original_buggy	execution_result	diagnosis	previous_bug_id	new_failing_test_number
this_action1	[BUG]  [BUGGY]  [FE]  AssertionFailedError  testPcts  [CONTEXT]  }  }  catch  (ClassCastException  ex)  {  return  result;  //  v  is  not  comparable  }  if  (c.compare(v,  freqTable.firstKey())  <  0)  {  return  0;//  v  is  comparable,  but  less  than  first  value  }  if  (c.compare(v,  freqTable.lastKey())  >=  0)  {  [BUGGY]    result  +=  getCount(v);  [BUGGY]  return  getSumFreq();//  v  is  comparable,  but  greater  than  the  last  value  }  }  Iterator<Comparable<?>>  values  =  valuesIterator();  while  (values.hasNext())  {  Comparable<?>  nextValue  =  values.next();  if  (c.compare(v,  nextValue)  >  0)  {  result  +=  getCount(nextValue);  }  else  {  return  result;  }  [CLASS]  Frequency  NaturalComparator  [METHOD]  getCumFreq  [RETURN_TYPE]  long  Comparable<?>  v  [VARIABLES]  Comparable  nextValue  v  boolean  ClassCastException  ex  Long  value  Iterator  values  TreeMap  freqTable  long  result  serialVersionUID  sumFreq  v  Comparator  c  	projects/Math75/src/main/java/org/apache/commons/math/stat/Frequency.java	0.5	408	409	1	add	    result  +=  getCount(v);		compilable	  [FE]  AssertionFailedError  testPcts	18	1
172	[BUG]  [BUGGY]    freqTable.put(v,  getCumFreq());  [CE]  no  suitable  method  found  for  getCumFreq()  [CONTEXT]  public  long  getCumFreq(long  v)  {  [BUGGY]    freqTable.put(v,  getCumFreq());  [BUGGY]  return  getCumFreq(Long.valueOf(v));  }  [CLASS]  Frequency  NaturalComparator  [METHOD]  getCumFreq  [RETURN_TYPE]  long  long  v  [VARIABLES]  TreeMap  freqTable  long  result  serialVersionUID  sumFreq  v  boolean  	projects/Math75/src/main/java/org/apache/commons/math/stat/Frequency.java	0.5773502691896258	444	444	1	replace	    freqTable.put(v,  getCumFreq());		non-compiled	[CE]  no  suitable  method  found  for  getCumFreq()	10	None	add
173	[BUG]  [BUGGY]    freqTable.put(v,  sumFreq);  [CE]  cannot  find  symbol  sumFreq  [CONTEXT]  public  long  getCumFreq(long  v)  {  [BUGGY]    freqTable.put(v,  sumFreq);  [BUGGY]  return  getCumFreq(Long.valueOf(v));  }  [CLASS]  Frequency  NaturalComparator  [METHOD]  getCumFreq  [RETURN_TYPE]  long  long  v  [VARIABLES]  TreeMap  freqTable  long  result  serialVersionUID  sumFreq  v  boolean  	projects/Math75/src/main/java/org/apache/commons/math/stat/Frequency.java	0.5773502691896258	444	444	1	replace	    freqTable.put(v,  sumFreq);		non-compiled	[CE]  cannot  find  symbol  sumFreq	10	None	add
175	[BUG]  [BUGGY]    checkLimits(v, "resulting ");  [CE]  cannot  find  symbol  [CONTEXT]  public  long  getCumFreq(long  v)  {  [BUGGY]    checkLimits(v, "resulting ");  [BUGGY]  return  getCumFreq(Long.valueOf(v));  }  [CLASS]  Frequency  NaturalComparator  [METHOD]  getCumFreq  [RETURN_TYPE]  long  long  v  [VARIABLES]  TreeMap  freqTable  long  result  serialVersionUID  sumFreq  v  boolean  	projects/Math75/src/main/java/org/apache/commons/math/stat/Frequency.java	0.5773502691896258	444	444	1	replace	    checkLimits(v, "resulting ");		non-compiled	[CE]  cannot  find  symbol	10	None	add
182	[BUG]  [BUGGY]    return((  Integer)v).longValue();  [CE]  unreachable  statement  [CONTEXT]  public  long  getCumFreq(Comparable<?>  v)  {  if  (getSumFreq()  ==  0)  {  return  0;  }  if  (v  instanceof  Integer)  {  [BUGGY]    return((  Integer)v).longValue();  [BUGGY]  return  getCumFreq(((Integer)  v).longValue());  }  Comparator<Comparable<?>>  c  =  (Comparator<Comparable<?>>)  freqTable.comparator();  if  (c  ==  null)  {  c  =  new  NaturalComparator();  }  long  result  =  0;  try  {  Long  value  =  freqTable.get(v);  if  (value  !=  null)  {  [CLASS]  Frequency  NaturalComparator  [METHOD]  getCumFreq  [RETURN_TYPE]  long  Comparable<?>  v  [VARIABLES]  Comparable  nextValue  v  boolean  ClassCastException  ex  Long  value  Iterator  values  TreeMap  freqTable  long  result  serialVersionUID  sumFreq  v  Comparator  c  	projects/Math75/src/main/java/org/apache/commons/math/stat/Frequency.java	0.5773502691896258	386	386	1	replace	    return((  Integer)v).longValue();		non-compiled	[CE]  unreachable  statement	8	None	add
183	[BUG]  [BUGGY]    Iterator  <  Long>  freqTable  =  values.iterator();  [CE]  cannot  find  symbol  values  [CONTEXT]  public  long  getCumFreq(Comparable<?>  v)  {  if  (getSumFreq()  ==  0)  {  return  0;  }  if  (v  instanceof  Integer)  {  [BUGGY]    Iterator  <  Long>  freqTable  =  values.iterator();  [BUGGY]  return  getCumFreq(((Integer)  v).longValue());  }  Comparator<Comparable<?>>  c  =  (Comparator<Comparable<?>>)  freqTable.comparator();  if  (c  ==  null)  {  c  =  new  NaturalComparator();  }  long  result  =  0;  try  {  Long  value  =  freqTable.get(v);  if  (value  !=  null)  {  [CLASS]  Frequency  NaturalComparator  [METHOD]  getCumFreq  [RETURN_TYPE]  long  Comparable<?>  v  [VARIABLES]  Comparable  nextValue  v  boolean  ClassCastException  ex  Long  value  Iterator  values  TreeMap  freqTable  long  result  serialVersionUID  sumFreq  v  Comparator  c  	projects/Math75/src/main/java/org/apache/commons/math/stat/Frequency.java	0.5773502691896258	386	386	1	replace	    Iterator  <  Long>  freqTable  =  values.iterator();		non-compiled	[CE]  cannot  find  symbol  values	8	None	add
184	[BUG]  [BUGGY]    Iterator  <?>  freqTable  =  values.iterator();  [CE]  cannot  find  symbol  values  [CONTEXT]  public  long  getCumFreq(Comparable<?>  v)  {  if  (getSumFreq()  ==  0)  {  return  0;  }  if  (v  instanceof  Integer)  {  [BUGGY]    Iterator  <?>  freqTable  =  values.iterator();  [BUGGY]  return  getCumFreq(((Integer)  v).longValue());  }  Comparator<Comparable<?>>  c  =  (Comparator<Comparable<?>>)  freqTable.comparator();  if  (c  ==  null)  {  c  =  new  NaturalComparator();  }  long  result  =  0;  try  {  Long  value  =  freqTable.get(v);  if  (value  !=  null)  {  [CLASS]  Frequency  NaturalComparator  [METHOD]  getCumFreq  [RETURN_TYPE]  long  Comparable<?>  v  [VARIABLES]  Comparable  nextValue  v  boolean  ClassCastException  ex  Long  value  Iterator  values  TreeMap  freqTable  long  result  serialVersionUID  sumFreq  v  Comparator  c  	projects/Math75/src/main/java/org/apache/commons/math/stat/Frequency.java	0.5773502691896258	386	386	1	replace	    Iterator  <?>  freqTable  =  values.iterator();		non-compiled	[CE]  cannot  find  symbol  values	8	None	add
185	[BUG]  [BUGGY]    return((  Integer)v).longValue());  [CE]  ';'  expected  [CONTEXT]  public  long  getCumFreq(Comparable<?>  v)  {  if  (getSumFreq()  ==  0)  {  return  0;  }  if  (v  instanceof  Integer)  {  [BUGGY]    return((  Integer)v).longValue());  [BUGGY]  return  getCumFreq(((Integer)  v).longValue());  }  Comparator<Comparable<?>>  c  =  (Comparator<Comparable<?>>)  freqTable.comparator();  if  (c  ==  null)  {  c  =  new  NaturalComparator();  }  long  result  =  0;  try  {  Long  value  =  freqTable.get(v);  if  (value  !=  null)  {  [CLASS]  Frequency  NaturalComparator  [METHOD]  getCumFreq  [RETURN_TYPE]  long  Comparable<?>  v  [VARIABLES]  Comparable  nextValue  v  boolean  ClassCastException  ex  Long  value  Iterator  values  TreeMap  freqTable  long  result  serialVersionUID  sumFreq  v  Comparator  c  	projects/Math75/src/main/java/org/apache/commons/math/stat/Frequency.java	0.5773502691896258	386	386	1	replace	    return((  Integer)v).longValue());		non-compiled	[CE]  ';'  expected	8	None	add
21	[BUG]  [BUGGY]    freqTable.put(new  Long(v));  [CE]  no  suitable  method  found  for  put(Long)  [CONTEXT]  public  void  addValue(long  v)  {  [BUGGY]    freqTable.put(new  Long(v));  [BUGGY]  addValue(Long.valueOf(v));  }  [CLASS]  Frequency  NaturalComparator  [METHOD]  addValue  [RETURN_TYPE]  void  long  v  [VARIABLES]  TreeMap  freqTable  long  serialVersionUID  v  boolean  	projects/Math75/src/main/java/org/apache/commons/math/stat/Frequency.java	0.5	177	177	1	replace	    freqTable.put(new  Long(v));		non-compiled	[CE]  no  suitable  method  found  for  put(Long)	12	None	add
23	[BUG]  [BUGGY]    freqTable.put(v,  true);  [CE]  no  suitable  method  found  for  put(long,boolean)  [CONTEXT]  public  void  addValue(long  v)  {  [BUGGY]    freqTable.put(v,  true);  [BUGGY]  addValue(Long.valueOf(v));  }  [CLASS]  Frequency  NaturalComparator  [METHOD]  addValue  [RETURN_TYPE]  void  long  v  [VARIABLES]  TreeMap  freqTable  long  serialVersionUID  v  boolean  	projects/Math75/src/main/java/org/apache/commons/math/stat/Frequency.java	0.5	177	177	1	replace	    freqTable.put(v,  true);		non-compiled	[CE]  no  suitable  method  found  for  put(long,boolean)	12	None	add
24	[BUG]  [BUGGY]    freqTable.put(v,  NumberUtils.toString(v));  [CE]  cannot  find  symbol  NumberUtils  [CONTEXT]  public  void  addValue(long  v)  {  [BUGGY]    freqTable.put(v,  NumberUtils.toString(v));  [BUGGY]  addValue(Long.valueOf(v));  }  [CLASS]  Frequency  NaturalComparator  [METHOD]  addValue  [RETURN_TYPE]  void  long  v  [VARIABLES]  TreeMap  freqTable  long  serialVersionUID  v  boolean  	projects/Math75/src/main/java/org/apache/commons/math/stat/Frequency.java	0.5	177	177	1	replace	    freqTable.put(v,  NumberUtils.toString(v));		non-compiled	[CE]  cannot  find  symbol  NumberUtils	12	None	add
25	[BUG]  [BUGGY]    freqTable.put(v,  NumberUtils.valueOf(v));  [CE]  cannot  find  symbol  NumberUtils  [CONTEXT]  public  void  addValue(long  v)  {  [BUGGY]    freqTable.put(v,  NumberUtils.valueOf(v));  [BUGGY]  addValue(Long.valueOf(v));  }  [CLASS]  Frequency  NaturalComparator  [METHOD]  addValue  [RETURN_TYPE]  void  long  v  [VARIABLES]  TreeMap  freqTable  long  serialVersionUID  v  boolean  	projects/Math75/src/main/java/org/apache/commons/math/stat/Frequency.java	0.5	177	177	1	replace	    freqTable.put(v,  NumberUtils.valueOf(v));		non-compiled	[CE]  cannot  find  symbol  NumberUtils	12	None	add
42	[BUG]  [BUGGY]  [FE]  AssertionFailedError  testPcts  [CONTEXT]  public  void  addValue(Comparable<?>  v){  Comparable<?>  obj  =  v;  if  (v  instanceof  Integer)  {  obj  =  Long.valueOf(((Integer)  v).longValue());  }  try  {  Long  count  =  freqTable.get(obj);  if  (count  ==  null)  {  freqTable.put(obj,  Long.valueOf(1));  }  else  {  [BUGGY]    freqTable.put(obj,  new  Long(count.longValue()  +  1));  [BUGGY]  freqTable.put(obj,  Long.valueOf(count.longValue()  +  1));  }  }  catch  (ClassCastException  ex)  {  throw  MathRuntimeException.createIllegalArgumentException(   "instance  of  class  {0}  not  comparable  to  existing  values ",  v.getClass().getName());  }  }  [CLASS]  Frequency  NaturalComparator  [METHOD]  addValue  [RETURN_TYPE]  void  Comparable<?>  v  [VARIABLES]  Long  count  Comparable  obj  v  boolean  TreeMap  freqTable  long  serialVersionUID  ClassCastException  ex  	projects/Math75/src/main/java/org/apache/commons/math/stat/Frequency.java	0.4472135954999579	142	142	1	add	    freqTable.put(obj,  new  Long(count.longValue()  +  1));		compilable	  [FE]  AssertionFailedError  testPcts	20	1
43	[BUG]  [BUGGY]    freqTable.put(obj,  new  Long(count.longValue()  +  1));  [FE]  AssertionFailedError  testPcts  [CONTEXT]  public  void  addValue(Comparable<?>  v){  Comparable<?>  obj  =  v;  if  (v  instanceof  Integer)  {  obj  =  Long.valueOf(((Integer)  v).longValue());  }  try  {  Long  count  =  freqTable.get(obj);  if  (count  ==  null)  {  freqTable.put(obj,  Long.valueOf(1));  }  else  {  [BUGGY]    freqTable.put(obj,  new  Long(count.longValue()  +  1));  [BUGGY]  freqTable.put(obj,  Long.valueOf(count.longValue()  +  1));  }  }  catch  (ClassCastException  ex)  {  throw  MathRuntimeException.createIllegalArgumentException(   "instance  of  class  {0}  not  comparable  to  existing  values ",  v.getClass().getName());  }  }  [CLASS]  Frequency  NaturalComparator  [METHOD]  addValue  [RETURN_TYPE]  void  Comparable<?>  v  [VARIABLES]  Long  count  Comparable  obj  v  boolean  TreeMap  freqTable  long  serialVersionUID  ClassCastException  ex  	projects/Math75/src/main/java/org/apache/commons/math/stat/Frequency.java	0.4472135954999579	142	142	1	replace	    freqTable.put(obj,  new  Long(count.longValue()  +  1));		compilable	  [FE]  AssertionFailedError  testPcts	20	1	add
43	[BUG]  [BUGGY]  [FE]  AssertionFailedError  testPcts  [CONTEXT]  public  void  addValue(Comparable<?>  v){  Comparable<?>  obj  =  v;  if  (v  instanceof  Integer)  {  obj  =  Long.valueOf(((Integer)  v).longValue());  }  try  {  Long  count  =  freqTable.get(obj);  if  (count  ==  null)  {  freqTable.put(obj,  Long.valueOf(1));  }  else  {  [BUGGY]    freqTable.put(obj,  new  Long(count.longValue()));  [BUGGY]  freqTable.put(obj,  Long.valueOf(count.longValue()  +  1));  }  }  catch  (ClassCastException  ex)  {  throw  MathRuntimeException.createIllegalArgumentException(   "instance  of  class  {0}  not  comparable  to  existing  values ",  v.getClass().getName());  }  }  [CLASS]  Frequency  NaturalComparator  [METHOD]  addValue  [RETURN_TYPE]  void  Comparable<?>  v  [VARIABLES]  Long  count  Comparable  obj  v  boolean  TreeMap  freqTable  long  serialVersionUID  ClassCastException  ex  	projects/Math75/src/main/java/org/apache/commons/math/stat/Frequency.java	0.4472135954999579	142	142	1	add	    freqTable.put(obj,  new  Long(count.longValue()));		compilable	  [FE]  AssertionFailedError  testPcts	20	1
44	[BUG]  [BUGGY]    freqTable.put(obj,  new  Long(count.longValue()));  [FE]  AssertionFailedError  testPcts  [CONTEXT]  public  void  addValue(Comparable<?>  v){  Comparable<?>  obj  =  v;  if  (v  instanceof  Integer)  {  obj  =  Long.valueOf(((Integer)  v).longValue());  }  try  {  Long  count  =  freqTable.get(obj);  if  (count  ==  null)  {  freqTable.put(obj,  Long.valueOf(1));  }  else  {  [BUGGY]    freqTable.put(obj,  new  Long(count.longValue()));  [BUGGY]  freqTable.put(obj,  Long.valueOf(count.longValue()  +  1));  }  }  catch  (ClassCastException  ex)  {  throw  MathRuntimeException.createIllegalArgumentException(   "instance  of  class  {0}  not  comparable  to  existing  values ",  v.getClass().getName());  }  }  [CLASS]  Frequency  NaturalComparator  [METHOD]  addValue  [RETURN_TYPE]  void  Comparable<?>  v  [VARIABLES]  Long  count  Comparable  obj  v  boolean  TreeMap  freqTable  long  serialVersionUID  ClassCastException  ex  	projects/Math75/src/main/java/org/apache/commons/math/stat/Frequency.java	0.4472135954999579	142	142	1	replace	    freqTable.put(obj,  new  Long(count.longValue()));		compilable	  [FE]  AssertionFailedError  testPcts	20	1	add
62	[BUG]  [BUGGY]  addValue(FreqTable.valueOf(v));  [CE]  cannot  find  symbol  FreqTable  [CONTEXT]  public  void  addValue(long  v)  {  [BUGGY]  addValue(FreqTable.valueOf(v));  [BUGGY]  }  [CLASS]  Frequency  NaturalComparator  [METHOD]  addValue  [RETURN_TYPE]  void  long  v  [VARIABLES]  TreeMap  freqTable  long  serialVersionUID  v  boolean  	projects/Math75/src/main/java/org/apache/commons/math/stat/Frequency.java	0.5	177	177	1	replace	addValue(FreqTable.valueOf(v));	addValue(Long.valueOf(v));  	non-compiled	[CE]  cannot  find  symbol  FreqTable	11	None	replace
63	[BUG]  [BUGGY]  addValue(Frequency.valueOf(v));  [CE]  cannot  find  symbol  [CONTEXT]  public  void  addValue(long  v)  {  [BUGGY]  addValue(Frequency.valueOf(v));  [BUGGY]  }  [CLASS]  Frequency  NaturalComparator  [METHOD]  addValue  [RETURN_TYPE]  void  long  v  [VARIABLES]  TreeMap  freqTable  long  serialVersionUID  v  boolean  	projects/Math75/src/main/java/org/apache/commons/math/stat/Frequency.java	0.5	177	177	1	replace	addValue(Frequency.valueOf(v));	addValue(Long.valueOf(v));  	non-compiled	[CE]  cannot  find  symbol	11	None	replace
101	[BUG]  [BUGGY]    freqTable.put(new  Long(v));  [CE]  no  suitable  method  found  for  put(Long)  [CONTEXT]  public  void  addValue(long  v)  {  addValue(Long.valueOf(v));  [BUGGY]    freqTable.put(new  Long(v));  [BUGGY]  }  [CLASS]  Frequency  NaturalComparator  [METHOD]  addValue  [RETURN_TYPE]  void  long  v  [VARIABLES]  TreeMap  freqTable  long  serialVersionUID  v  boolean  	projects/Math75/src/main/java/org/apache/commons/math/stat/Frequency.java	0.5	178	178	1	replace	    freqTable.put(new  Long(v));		non-compiled	[CE]  no  suitable  method  found  for  put(Long)	14	None	add
102	[BUG]  [BUGGY]    freqTable.put(v,  NumberUtils.valueOf(v));  [CE]  cannot  find  symbol  NumberUtils  [CONTEXT]  public  void  addValue(long  v)  {  addValue(Long.valueOf(v));  [BUGGY]    freqTable.put(v,  NumberUtils.valueOf(v));  [BUGGY]  }  [CLASS]  Frequency  NaturalComparator  [METHOD]  addValue  [RETURN_TYPE]  void  long  v  [VARIABLES]  TreeMap  freqTable  long  serialVersionUID  v  boolean  	projects/Math75/src/main/java/org/apache/commons/math/stat/Frequency.java	0.5	178	178	1	replace	    freqTable.put(v,  NumberUtils.valueOf(v));		non-compiled	[CE]  cannot  find  symbol  NumberUtils	14	None	add
103	[BUG]  [BUGGY]    freqTable.put(v,  NumberUtils.toString(v));  [CE]  cannot  find  symbol  NumberUtils  [CONTEXT]  public  void  addValue(long  v)  {  addValue(Long.valueOf(v));  [BUGGY]    freqTable.put(v,  NumberUtils.toString(v));  [BUGGY]  }  [CLASS]  Frequency  NaturalComparator  [METHOD]  addValue  [RETURN_TYPE]  void  long  v  [VARIABLES]  TreeMap  freqTable  long  serialVersionUID  v  boolean  	projects/Math75/src/main/java/org/apache/commons/math/stat/Frequency.java	0.5	178	178	1	replace	    freqTable.put(v,  NumberUtils.toString(v));		non-compiled	[CE]  cannot  find  symbol  NumberUtils	14	None	add
104	[BUG]  [BUGGY]    freqTable.put(v,  true);  [CE]  no  suitable  method  found  for  put(long,boolean)  [CONTEXT]  public  void  addValue(long  v)  {  addValue(Long.valueOf(v));  [BUGGY]    freqTable.put(v,  true);  [BUGGY]  }  [CLASS]  Frequency  NaturalComparator  [METHOD]  addValue  [RETURN_TYPE]  void  long  v  [VARIABLES]  TreeMap  freqTable  long  serialVersionUID  v  boolean  	projects/Math75/src/main/java/org/apache/commons/math/stat/Frequency.java	0.5	178	178	1	replace	    freqTable.put(v,  true);		non-compiled	[CE]  no  suitable  method  found  for  put(long,boolean)	14	None	add
105	[BUG]  [BUGGY]    freqTable.put(v,  NumberUtils.toFront(v));  [CE]  cannot  find  symbol  NumberUtils  [CONTEXT]  public  void  addValue(long  v)  {  addValue(Long.valueOf(v));  [BUGGY]    freqTable.put(v,  NumberUtils.toFront(v));  [BUGGY]  }  [CLASS]  Frequency  NaturalComparator  [METHOD]  addValue  [RETURN_TYPE]  void  long  v  [VARIABLES]  TreeMap  freqTable  long  serialVersionUID  v  boolean  	projects/Math75/src/main/java/org/apache/commons/math/stat/Frequency.java	0.5	178	178	1	replace	    freqTable.put(v,  NumberUtils.toFront(v));		non-compiled	[CE]  cannot  find  symbol  NumberUtils	14	None	add
123	[BUG]  [BUGGY]  [FE]  AssertionFailedError  testPcts  [CONTEXT]  public  long  getCumFreq(Comparable<?>  v)  {  if  (getSumFreq()  ==  0)  {  return  0;  }  if  (v  instanceof  Integer)  {  [BUGGY]    ((  Integer)v).longValue();  [BUGGY]  return  getCumFreq(((Integer)  v).longValue());  }  Comparator<Comparable<?>>  c  =  (Comparator<Comparable<?>>)  freqTable.comparator();  if  (c  ==  null)  {  c  =  new  NaturalComparator();  }  long  result  =  0;  try  {  Long  value  =  freqTable.get(v);  if  (value  !=  null)  {  [CLASS]  Frequency  NaturalComparator  [METHOD]  getCumFreq  [RETURN_TYPE]  long  Comparable<?>  v  [VARIABLES]  Comparable  nextValue  v  boolean  ClassCastException  ex  Long  value  Iterator  values  TreeMap  freqTable  long  result  serialVersionUID  sumFreq  v  Comparator  c  	projects/Math75/src/main/java/org/apache/commons/math/stat/Frequency.java	0.5773502691896258	386	386	1	add	    ((  Integer)v).longValue();		compilable	  [FE]  AssertionFailedError  testPcts	8	1
124	[BUG]  [BUGGY]    ((  Integer)v).longValue();  [FE]  AssertionFailedError  testPcts  [CONTEXT]  public  long  getCumFreq(Comparable<?>  v)  {  if  (getSumFreq()  ==  0)  {  return  0;  }  if  (v  instanceof  Integer)  {  [BUGGY]    ((  Integer)v).longValue();  [BUGGY]  return  getCumFreq(((Integer)  v).longValue());  }  Comparator<Comparable<?>>  c  =  (Comparator<Comparable<?>>)  freqTable.comparator();  if  (c  ==  null)  {  c  =  new  NaturalComparator();  }  long  result  =  0;  try  {  Long  value  =  freqTable.get(v);  if  (value  !=  null)  {  [CLASS]  Frequency  NaturalComparator  [METHOD]  getCumFreq  [RETURN_TYPE]  long  Comparable<?>  v  [VARIABLES]  Comparable  nextValue  v  boolean  ClassCastException  ex  Long  value  Iterator  values  TreeMap  freqTable  long  result  serialVersionUID  sumFreq  v  Comparator  c  	projects/Math75/src/main/java/org/apache/commons/math/stat/Frequency.java	0.5773502691896258	386	386	1	replace	    ((  Integer)v).longValue();		compilable	  [FE]  AssertionFailedError  testPcts	8	1	add
124	[BUG]  [BUGGY]    return  getCount(((Integer)v).longValue());  [CE]  unreachable  statement  [CONTEXT]  public  long  getCumFreq(Comparable<?>  v)  {  if  (getSumFreq()  ==  0)  {  return  0;  }  if  (v  instanceof  Integer)  {  [BUGGY]    return  getCount(((Integer)v).longValue());  [BUGGY]  return  getCumFreq(((Integer)  v).longValue());  }  Comparator<Comparable<?>>  c  =  (Comparator<Comparable<?>>)  freqTable.comparator();  if  (c  ==  null)  {  c  =  new  NaturalComparator();  }  long  result  =  0;  try  {  Long  value  =  freqTable.get(v);  if  (value  !=  null)  {  [CLASS]  Frequency  NaturalComparator  [METHOD]  getCumFreq  [RETURN_TYPE]  long  Comparable<?>  v  [VARIABLES]  Comparable  nextValue  v  boolean  ClassCastException  ex  Long  value  Iterator  values  TreeMap  freqTable  long  result  serialVersionUID  sumFreq  v  Comparator  c  	projects/Math75/src/main/java/org/apache/commons/math/stat/Frequency.java	0.5773502691896258	386	386	1	replace	    return  getCount(((Integer)v).longValue());		non-compiled	[CE]  unreachable  statement	8	None	add
143	[BUG]  [BUGGY]  return  getCumFreq(((Integer)v).longValue(),  1);  [CE]  no  suitable  method  found  for  getCumFreq(long,int)  [CONTEXT]  public  long  getCumFreq(Comparable<?>  v)  {  if  (getSumFreq()  ==  0)  {  return  0;  }  if  (v  instanceof  Integer)  {  [BUGGY]  return  getCumFreq(((Integer)v).longValue(),  1);  [BUGGY]  }  Comparator<Comparable<?>>  c  =  (Comparator<Comparable<?>>)  freqTable.comparator();  if  (c  ==  null)  {  c  =  new  NaturalComparator();  }  long  result  =  0;  try  {  Long  value  =  freqTable.get(v);  if  (value  !=  null)  {  [CLASS]  Frequency  NaturalComparator  [METHOD]  getCumFreq  [RETURN_TYPE]  long  Comparable<?>  v  [VARIABLES]  Comparable  nextValue  v  boolean  ClassCastException  ex  Long  value  Iterator  values  TreeMap  freqTable  long  result  serialVersionUID  sumFreq  v  Comparator  c  	projects/Math75/src/main/java/org/apache/commons/math/stat/Frequency.java	0.5773502691896258	386	386	1	replace	return  getCumFreq(((Integer)v).longValue(),  1);	return  getCumFreq(((Integer)  v).longValue());  	non-compiled	[CE]  no  suitable  method  found  for  getCumFreq(long,int)	7	None	replace
161	[BUG]  [BUGGY]    Preconditions.checkNotNull(v);  [CE]  cannot  find  symbol  Preconditions  [CONTEXT]  public  double  getPct(int  v)  {  [BUGGY]    Preconditions.checkNotNull(v);  [BUGGY]  return  getPct(Long.valueOf(v));  }  [CLASS]  Frequency  NaturalComparator  [METHOD]  getPct  [RETURN_TYPE]  double  int  v  [VARIABLES]  boolean  TreeMap  freqTable  long  result  serialVersionUID  sumFreq  v  int  v  	projects/Math75/src/main/java/org/apache/commons/math/stat/Frequency.java	0.7071067811865475	331	331	1	replace	    Preconditions.checkNotNull(v);		non-compiled	[CE]  cannot  find  symbol  Preconditions	6	None	add
162	[BUG]  [BUGGY]    for(int  v  =  0;  v  <  this.sumFreq;  v++)  {  long  result  =  getSumFreq();  if(v  >  0)  {  return  getPct(Long.valueOf(v));  }  [CE]  illegal  start  of  expression  [CONTEXT]  public  double  getPct(int  v)  {  [BUGGY]    for(int  v  =  0;  v  <  this.sumFreq;  v++)  {  long  result  =  getSumFreq();  if(v  >  0)  {  return  getPct(Long.valueOf(v));  }  [BUGGY]  return  getPct(Long.valueOf(v));  }  [CLASS]  Frequency  NaturalComparator  [METHOD]  getPct  [RETURN_TYPE]  double  int  v  [VARIABLES]  boolean  TreeMap  freqTable  long  result  serialVersionUID  sumFreq  v  int  v  	projects/Math75/src/main/java/org/apache/commons/math/stat/Frequency.java	0.7071067811865475	331	331	1	replace	    for(int  v  =  0;  v  <  this.sumFreq;  v++)  {  long  result  =  getSumFreq();  if(v  >  0)  {  return  getPct(Long.valueOf(v));  }		non-compiled	[CE]  illegal  start  of  expression	6	None	add
163	[BUG]  [BUGGY]    for(int  v  =  0;  v  <  this.sumFreq;  v++)  {  long  result  =  getSumFreq();  if(v  >  0)  {  return  getPct(new  Long(v));  }  [CE]  illegal  start  of  expression  [CONTEXT]  public  double  getPct(int  v)  {  [BUGGY]    for(int  v  =  0;  v  <  this.sumFreq;  v++)  {  long  result  =  getSumFreq();  if(v  >  0)  {  return  getPct(new  Long(v));  }  [BUGGY]  return  getPct(Long.valueOf(v));  }  [CLASS]  Frequency  NaturalComparator  [METHOD]  getPct  [RETURN_TYPE]  double  int  v  [VARIABLES]  boolean  TreeMap  freqTable  long  result  serialVersionUID  sumFreq  v  int  v  	projects/Math75/src/main/java/org/apache/commons/math/stat/Frequency.java	0.7071067811865475	331	331	1	replace	    for(int  v  =  0;  v  <  this.sumFreq;  v++)  {  long  result  =  getSumFreq();  if(v  >  0)  {  return  getPct(new  Long(v));  }		non-compiled	[CE]  illegal  start  of  expression	6	None	add
165	[BUG]  [BUGGY]    for(int  v  =  0;  v  <  this.sumFreq;  v++)  {  long  result  =  getSumFreq();  if(v  >  0)  {  return  getPct(Math.pow(10,  v));  }  [CE]  illegal  start  of  expression  [CONTEXT]  public  double  getPct(int  v)  {  [BUGGY]    for(int  v  =  0;  v  <  this.sumFreq;  v++)  {  long  result  =  getSumFreq();  if(v  >  0)  {  return  getPct(Math.pow(10,  v));  }  [BUGGY]  return  getPct(Long.valueOf(v));  }  [CLASS]  Frequency  NaturalComparator  [METHOD]  getPct  [RETURN_TYPE]  double  int  v  [VARIABLES]  boolean  TreeMap  freqTable  long  result  serialVersionUID  sumFreq  v  int  v  	projects/Math75/src/main/java/org/apache/commons/math/stat/Frequency.java	0.7071067811865475	331	331	1	replace	    for(int  v  =  0;  v  <  this.sumFreq;  v++)  {  long  result  =  getSumFreq();  if(v  >  0)  {  return  getPct(Math.pow(10,  v));  }		non-compiled	[CE]  illegal  start  of  expression	6	None	add
182	[BUG]  [BUGGY]  return  getPct(Long.toString());  [CE]  non-static  method  toString()  cannot  be  referenced  from  a  static  context  [CONTEXT]  public  double  getPct(long  v)  {  [BUGGY]  return  getPct(Long.toString());  [BUGGY]  }  [CLASS]  Frequency  NaturalComparator  [METHOD]  getPct  [RETURN_TYPE]  double  long  v  [VARIABLES]  TreeMap  freqTable  long  result  serialVersionUID  sumFreq  v  boolean  	projects/Math75/src/main/java/org/apache/commons/math/stat/Frequency.java	1.0	342	342	1	replace	return  getPct(Long.toString());	return  getPct(Long.valueOf(v));  	non-compiled	[CE]  non-static  method  toString()  cannot  be  referenced  from  a  static  context	3	None	replace
