bugid	buggy	buggy_class	suspiciousness	buggy_line	endbuggycode	original_failing_test_number	action	patch	original_buggy	execution_result	diagnosis	previous_bug_id	new_failing_test_number
this_action2	[BUG]  [BUGGY]  [FE]  NullPointerException  testMath369  [CONTEXT]    [BUGGY]  verifyInterval(min,max);  [BUGGY]  verifyInterval(min,max);  double  m;  double  fm;  double  fmin;  int  i  =  0;  while  (i  <  maximalIterationCount)  {  m  =  UnivariateRealSolverUtils.midpoint(min,  max);  fmin  =  f.value(min);  fm  =  f.value(m);  [CLASS]  BisectionSolver  [METHOD]  solve  [RETURN_TYPE]  double  UnivariateRealFunction  f  double  min  double  max  	projects/Math70/src/main/java/org/apache/commons/math/analysis/solvers/BisectionSolver.java	0.5	79	79	1	add	verifyInterval(min,max);	clearResult();  	compilable	  [FE]  NullPointerException  testMath369	5	1
193	[BUG]  [BUGGY]    double  min  =  UnivariateRealSolverUtils.midpoint(min,  max);  fm  =  UnivariateRealSolverUtils.midpoint(min,  max);  [CE]  variable  min  is  already  defined  in  method  solve(UnivariateRealFunction,double,double)  [CONTEXT]    [BUGGY]    double  min  =  UnivariateRealSolverUtils.midpoint(min,  max);  fm  =  UnivariateRealSolverUtils.midpoint(min,  max);  [BUGGY]  m  =  UnivariateRealSolverUtils.midpoint(min,  max);  fmin  =  f.value(min);  fm  =  f.value(m);  if  (fm  *  fmin  >  0.0)  {  min  =  m;  }  else  {  max  =  m;  }  [CLASS]  BisectionSolver  [METHOD]  solve  [RETURN_TYPE]  double  UnivariateRealFunction  f  double  min  double  max  	projects/Math70/src/main/java/org/apache/commons/math/analysis/solvers/BisectionSolver.java	0.5	87	87	1	replace	    double  min  =  UnivariateRealSolverUtils.midpoint(min,  max);  fm  =  UnivariateRealSolverUtils.midpoint(min,  max);		non-compiled	[CE]  variable  min  is  already  defined  in  method  solve(UnivariateRealFunction,double,double)	14	None	add
194	[BUG]  [BUGGY]  [FE]  NullPointerException  testMath369  [CONTEXT]    [BUGGY]    fmin  =  UnivariateRealSolverUtils.midpoint(min,  max);  [BUGGY]  m  =  UnivariateRealSolverUtils.midpoint(min,  max);  fmin  =  f.value(min);  fm  =  f.value(m);  if  (fm  *  fmin  >  0.0)  {  min  =  m;  }  else  {  max  =  m;  }  [CLASS]  BisectionSolver  [METHOD]  solve  [RETURN_TYPE]  double  UnivariateRealFunction  f  double  min  double  max  	projects/Math70/src/main/java/org/apache/commons/math/analysis/solvers/BisectionSolver.java	0.5	87	87	1	add	    fmin  =  UnivariateRealSolverUtils.midpoint(min,  max);		compilable	  [FE]  NullPointerException  testMath369	14	1
195	[BUG]  [BUGGY]    fmin  =  UnivariateRealSolverUtils.midpoint(min,  max);  [FE]  NullPointerException  testMath369  [CONTEXT]    [BUGGY]    fmin  =  UnivariateRealSolverUtils.midpoint(min,  max);  [BUGGY]  m  =  UnivariateRealSolverUtils.midpoint(min,  max);  fmin  =  f.value(min);  fm  =  f.value(m);  if  (fm  *  fmin  >  0.0)  {  min  =  m;  }  else  {  max  =  m;  }  [CLASS]  BisectionSolver  [METHOD]  solve  [RETURN_TYPE]  double  UnivariateRealFunction  f  double  min  double  max  	projects/Math70/src/main/java/org/apache/commons/math/analysis/solvers/BisectionSolver.java	0.5	87	87	1	replace	    fmin  =  UnivariateRealSolverUtils.midpoint(min,  max);		compilable	  [FE]  NullPointerException  testMath369	14	1	add
195	[BUG]  [BUGGY]    double  min  =  UnivariateRealSolverUtils.midpoint(min,  max);  [CE]  variable  min  is  already  defined  in  method  solve(UnivariateRealFunction,double,double)  [CONTEXT]    [BUGGY]    double  min  =  UnivariateRealSolverUtils.midpoint(min,  max);  [BUGGY]  m  =  UnivariateRealSolverUtils.midpoint(min,  max);  fmin  =  f.value(min);  fm  =  f.value(m);  if  (fm  *  fmin  >  0.0)  {  min  =  m;  }  else  {  max  =  m;  }  [CLASS]  BisectionSolver  [METHOD]  solve  [RETURN_TYPE]  double  UnivariateRealFunction  f  double  min  double  max  	projects/Math70/src/main/java/org/apache/commons/math/analysis/solvers/BisectionSolver.java	0.5	87	87	1	replace	    double  min  =  UnivariateRealSolverUtils.midpoint(min,  max);		non-compiled	[CE]  variable  min  is  already  defined  in  method  solve(UnivariateRealFunction,double,double)	14	None	add
1	[BUG]  [BUGGY]    fmax  =  f.value(max);  [CE]  cannot  find  symbol  fmax  [CONTEXT]    [BUGGY]    fmax  =  f.value(max);  [BUGGY]  fmin  =  f.value(min);  fm  =  f.value(m);  if  (fm  *  fmin  >  0.0)  {  min  =  m;  }  else  {  max  =  m;  }  [CLASS]  BisectionSolver  [METHOD]  solve  [RETURN_TYPE]  double  UnivariateRealFunction  f  double  min  double  max  	projects/Math70/src/main/java/org/apache/commons/math/analysis/solvers/BisectionSolver.java	0.5	88	88	1	replace	    fmax  =  f.value(max);		non-compiled	[CE]  cannot  find  symbol  fmax	16	None	add
2	[BUG]  [BUGGY]    if(f.value(max)  ==  0.0)  {  fmin  =  f.value(max);  if(fm  *  fmin  >  0.0)  {  max  =  f;  }  [CE]  reached  end  of  file  while  parsing  [CONTEXT]    [BUGGY]    if(f.value(max)  ==  0.0)  {  fmin  =  f.value(max);  if(fm  *  fmin  >  0.0)  {  max  =  f;  }  [BUGGY]  fmin  =  f.value(min);  fm  =  f.value(m);  if  (fm  *  fmin  >  0.0)  {  min  =  m;  }  else  {  max  =  m;  }  [CLASS]  BisectionSolver  [METHOD]  solve  [RETURN_TYPE]  double  UnivariateRealFunction  f  double  min  double  max  	projects/Math70/src/main/java/org/apache/commons/math/analysis/solvers/BisectionSolver.java	0.5	88	88	1	replace	    if(f.value(max)  ==  0.0)  {  fmin  =  f.value(max);  if(fm  *  fmin  >  0.0)  {  max  =  f;  }		non-compiled	[CE]  reached  end  of  file  while  parsing	16	None	add
3	[BUG]  [BUGGY]    if(f.value(max)  ==  0.0)  {  fmin  =  f.value(max);  if(fm  *  fmin  >  0.0)  {  max  =  m;  }  [CE]  reached  end  of  file  while  parsing  [CONTEXT]    [BUGGY]    if(f.value(max)  ==  0.0)  {  fmin  =  f.value(max);  if(fm  *  fmin  >  0.0)  {  max  =  m;  }  [BUGGY]  fmin  =  f.value(min);  fm  =  f.value(m);  if  (fm  *  fmin  >  0.0)  {  min  =  m;  }  else  {  max  =  m;  }  [CLASS]  BisectionSolver  [METHOD]  solve  [RETURN_TYPE]  double  UnivariateRealFunction  f  double  min  double  max  	projects/Math70/src/main/java/org/apache/commons/math/analysis/solvers/BisectionSolver.java	0.5	88	88	1	replace	    if(f.value(max)  ==  0.0)  {  fmin  =  f.value(max);  if(fm  *  fmin  >  0.0)  {  max  =  m;  }		non-compiled	[CE]  reached  end  of  file  while  parsing	16	None	add
4	[BUG]  [BUGGY]    if(f.value(max)  ==  0.0)  {  fmin  =  f.value(max);  if(fm  *  fmin  >  0.0)  {  min  =  f.value(max);  }  [CE]  reached  end  of  file  while  parsing  [CONTEXT]    [BUGGY]    if(f.value(max)  ==  0.0)  {  fmin  =  f.value(max);  if(fm  *  fmin  >  0.0)  {  min  =  f.value(max);  }  [BUGGY]  fmin  =  f.value(min);  fm  =  f.value(m);  if  (fm  *  fmin  >  0.0)  {  min  =  m;  }  else  {  max  =  m;  }  [CLASS]  BisectionSolver  [METHOD]  solve  [RETURN_TYPE]  double  UnivariateRealFunction  f  double  min  double  max  	projects/Math70/src/main/java/org/apache/commons/math/analysis/solvers/BisectionSolver.java	0.5	88	88	1	replace	    if(f.value(max)  ==  0.0)  {  fmin  =  f.value(max);  if(fm  *  fmin  >  0.0)  {  min  =  f.value(max);  }		non-compiled	[CE]  reached  end  of  file  while  parsing	16	None	add
5	[BUG]  [BUGGY]    if(f.value(max)  ==  0.0)  {  fmin  =  f.value(max);  if(fm  *  fmin  >  0.0)  {  max  =  f.value(max);  }  [CE]  reached  end  of  file  while  parsing  [CONTEXT]    [BUGGY]    if(f.value(max)  ==  0.0)  {  fmin  =  f.value(max);  if(fm  *  fmin  >  0.0)  {  max  =  f.value(max);  }  [BUGGY]  fmin  =  f.value(min);  fm  =  f.value(m);  if  (fm  *  fmin  >  0.0)  {  min  =  m;  }  else  {  max  =  m;  }  [CLASS]  BisectionSolver  [METHOD]  solve  [RETURN_TYPE]  double  UnivariateRealFunction  f  double  min  double  max  	projects/Math70/src/main/java/org/apache/commons/math/analysis/solvers/BisectionSolver.java	0.5	88	88	1	replace	    if(f.value(max)  ==  0.0)  {  fmin  =  f.value(max);  if(fm  *  fmin  >  0.0)  {  max  =  f.value(max);  }		non-compiled	[CE]  reached  end  of  file  while  parsing	16	None	add
24	[BUG]  [BUGGY]  int  i  =(int)Math.floor(min,  max);  [CE]  method  floor  in  class  Math  cannot  be  applied  to  given  types;  [CONTEXT]    [BUGGY]  int  i  =(int)Math.floor(min,  max);  [BUGGY]  while  (i  <  maximalIterationCount)  {  m  =  UnivariateRealSolverUtils.midpoint(min,  max);  fmin  =  f.value(min);  fm  =  f.value(m);  if  (fm  *  fmin  >  0.0)  {  min  =  m;  }  else  {  [CLASS]  BisectionSolver  [METHOD]  solve  [RETURN_TYPE]  double  UnivariateRealFunction  f  double  min  double  max  	projects/Math70/src/main/java/org/apache/commons/math/analysis/solvers/BisectionSolver.java	0.5	85	85	1	replace	int  i  =(int)Math.floor(min,  max);	int  i  =  0;  	non-compiled	[CE]  method  floor  in  class  Math  cannot  be  applied  to  given  types;	9	None	replace
43	[BUG]  [BUGGY]  m  =  UnivariateRealSolverUtils.midpoint(min,  max),  true);  [CE]  ';'  expected  [CONTEXT]    [BUGGY]  m  =  UnivariateRealSolverUtils.midpoint(min,  max),  true);  [BUGGY]  fmin  =  f.value(min);  fm  =  f.value(m);  if  (fm  *  fmin  >  0.0)  {  min  =  m;  }  else  {  max  =  m;  }  [CLASS]  BisectionSolver  [METHOD]  solve  [RETURN_TYPE]  double  UnivariateRealFunction  f  double  min  double  max  	projects/Math70/src/main/java/org/apache/commons/math/analysis/solvers/BisectionSolver.java	0.5	87	87	1	replace	m  =  UnivariateRealSolverUtils.midpoint(min,  max),  true);	m  =  UnivariateRealSolverUtils.midpoint(min,  max);  	non-compiled	[CE]  ';'  expected	13	None	replace
44	[BUG]  [BUGGY]  m  =  UnivariateRealSolverUtils.midpoint(clarity,  min,  max);  [CE]  cannot  find  symbol  clarity  [CONTEXT]    [BUGGY]  m  =  UnivariateRealSolverUtils.midpoint(clarity,  min,  max);  [BUGGY]  fmin  =  f.value(min);  fm  =  f.value(m);  if  (fm  *  fmin  >  0.0)  {  min  =  m;  }  else  {  max  =  m;  }  [CLASS]  BisectionSolver  [METHOD]  solve  [RETURN_TYPE]  double  UnivariateRealFunction  f  double  min  double  max  	projects/Math70/src/main/java/org/apache/commons/math/analysis/solvers/BisectionSolver.java	0.5	87	87	1	replace	m  =  UnivariateRealSolverUtils.midpoint(clarity,  min,  max);	m  =  UnivariateRealSolverUtils.midpoint(min,  max);  	non-compiled	[CE]  cannot  find  symbol  clarity	13	None	replace
82	[BUG]  [BUGGY]    Preconditions.checkNotNull(BisectionSolver.create());  [CE]  cannot  find  symbol  [CONTEXT]    [BUGGY]    Preconditions.checkNotNull(BisectionSolver.create());  [BUGGY]  }  [CLASS]  BisectionSolver  [METHOD]  <init>  [RETURN_TYPE]  BisectionSolver()  	projects/Math70/src/main/java/org/apache/commons/math/analysis/solvers/BisectionSolver.java	0.30151134457776363	53	53	1	replace	    Preconditions.checkNotNull(BisectionSolver.create());		non-compiled	[CE]  cannot  find  symbol	20	None	add
83	[BUG]  [BUGGY]    Preconditions.checkNotNull(Math.PI);  [CE]  cannot  find  symbol  Preconditions  [CONTEXT]    [BUGGY]    Preconditions.checkNotNull(Math.PI);  [BUGGY]  }  [CLASS]  BisectionSolver  [METHOD]  <init>  [RETURN_TYPE]  BisectionSolver()  	projects/Math70/src/main/java/org/apache/commons/math/analysis/solvers/BisectionSolver.java	0.30151134457776363	53	53	1	replace	    Preconditions.checkNotNull(Math.PI);		non-compiled	[CE]  cannot  find  symbol  Preconditions	20	None	add
84	[BUG]  [BUGGY]    Preconditions.checkNotNull(BisectionSolver.instance);  [CE]  cannot  find  symbol  instance  [CONTEXT]    [BUGGY]    Preconditions.checkNotNull(BisectionSolver.instance);  [BUGGY]  }  [CLASS]  BisectionSolver  [METHOD]  <init>  [RETURN_TYPE]  BisectionSolver()  	projects/Math70/src/main/java/org/apache/commons/math/analysis/solvers/BisectionSolver.java	0.30151134457776363	53	53	1	replace	    Preconditions.checkNotNull(BisectionSolver.instance);		non-compiled	[CE]  cannot  find  symbol  instance	20	None	add
85	[BUG]  [BUGGY]    Preconditions.checkNotNull(BisectionStdImpl);  [CE]  cannot  find  symbol  BisectionStdImpl  [CONTEXT]    [BUGGY]    Preconditions.checkNotNull(BisectionStdImpl);  [BUGGY]  }  [CLASS]  BisectionSolver  [METHOD]  <init>  [RETURN_TYPE]  BisectionSolver()  	projects/Math70/src/main/java/org/apache/commons/math/analysis/solvers/BisectionSolver.java	0.30151134457776363	53	53	1	replace	    Preconditions.checkNotNull(BisectionStdImpl);		non-compiled	[CE]  cannot  find  symbol  BisectionStdImpl	20	None	add
122	[BUG]  [BUGGY]    double  min  =  Math.min(relativeAccuracy  *  Math.abs(min),  absoluteAccuracy);  solve(max,  min);  [CE]  variable  min  is  already  defined  in  method  solve(UnivariateRealFunction,double,double,double)  [CONTEXT]    [BUGGY]    double  min  =  Math.min(relativeAccuracy  *  Math.abs(min),  absoluteAccuracy);  solve(max,  min);  [BUGGY]  return  solve(min,  max);  }  [CLASS]  BisectionSolver  [METHOD]  solve  [RETURN_TYPE]  double  UnivariateRealFunction  f  double  min  double  max  double  initial  	projects/Math70/src/main/java/org/apache/commons/math/analysis/solvers/BisectionSolver.java	1.0	72	72	1	replace	    double  min  =  Math.min(relativeAccuracy  *  Math.abs(min),  absoluteAccuracy);  solve(max,  min);		non-compiled	[CE]  variable  min  is  already  defined  in  method  solve(UnivariateRealFunction,double,double,double)	2	None	add
123	[BUG]  [BUGGY]    double  min  =  Math.min(relativeAccuracy  *  Math.abs(min),  absoluteAccuracy);  [CE]  variable  min  is  already  defined  in  method  solve(UnivariateRealFunction,double,double,double)  [CONTEXT]    [BUGGY]    double  min  =  Math.min(relativeAccuracy  *  Math.abs(min),  absoluteAccuracy);  [BUGGY]  return  solve(min,  max);  }  [CLASS]  BisectionSolver  [METHOD]  solve  [RETURN_TYPE]  double  UnivariateRealFunction  f  double  min  double  max  double  initial  	projects/Math70/src/main/java/org/apache/commons/math/analysis/solvers/BisectionSolver.java	1.0	72	72	1	replace	    double  min  =  Math.min(relativeAccuracy  *  Math.abs(min),  absoluteAccuracy);		non-compiled	[CE]  variable  min  is  already  defined  in  method  solve(UnivariateRealFunction,double,double,double)	2	None	add
124	[BUG]  [BUGGY]    double  min  =  Math.min(relativeAccuracy  *  Math.abs(min),  absoluteAccuracy);  solve(max,  initial);  [CE]  variable  min  is  already  defined  in  method  solve(UnivariateRealFunction,double,double,double)  [CONTEXT]    [BUGGY]    double  min  =  Math.min(relativeAccuracy  *  Math.abs(min),  absoluteAccuracy);  solve(max,  initial);  [BUGGY]  return  solve(min,  max);  }  [CLASS]  BisectionSolver  [METHOD]  solve  [RETURN_TYPE]  double  UnivariateRealFunction  f  double  min  double  max  double  initial  	projects/Math70/src/main/java/org/apache/commons/math/analysis/solvers/BisectionSolver.java	1.0	72	72	1	replace	    double  min  =  Math.min(relativeAccuracy  *  Math.abs(min),  absoluteAccuracy);  solve(max,  initial);		non-compiled	[CE]  variable  min  is  already  defined  in  method  solve(UnivariateRealFunction,double,double,double)	2	None	add
125	[BUG]  [BUGGY]    double  min  =  Math.min(relativeAccuracy  *  Math.abs(min),  absoluteAccuracy);  solve(max,  f);  [CE]  variable  min  is  already  defined  in  method  solve(UnivariateRealFunction,double,double,double)  [CONTEXT]    [BUGGY]    double  min  =  Math.min(relativeAccuracy  *  Math.abs(min),  absoluteAccuracy);  solve(max,  f);  [BUGGY]  return  solve(min,  max);  }  [CLASS]  BisectionSolver  [METHOD]  solve  [RETURN_TYPE]  double  UnivariateRealFunction  f  double  min  double  max  double  initial  	projects/Math70/src/main/java/org/apache/commons/math/analysis/solvers/BisectionSolver.java	1.0	72	72	1	replace	    double  min  =  Math.min(relativeAccuracy  *  Math.abs(min),  absoluteAccuracy);  solve(max,  f);		non-compiled	[CE]  variable  min  is  already  defined  in  method  solve(UnivariateRealFunction,double,double,double)	2	None	add
144	[BUG]  [BUGGY]  validateInterval(min,max);  [CE]  cannot  find  symbol  [CONTEXT]    [BUGGY]  validateInterval(min,max);  [BUGGY]  verifyInterval(min,max);  double  m;  double  fm;  double  fmin;  int  i  =  0;  while  (i  <  maximalIterationCount)  {  m  =  UnivariateRealSolverUtils.midpoint(min,  max);  fmin  =  f.value(min);  fm  =  f.value(m);  [CLASS]  BisectionSolver  [METHOD]  solve  [RETURN_TYPE]  double  UnivariateRealFunction  f  double  min  double  max  	projects/Math70/src/main/java/org/apache/commons/math/analysis/solvers/BisectionSolver.java	0.5	79	79	1	replace	validateInterval(min,max);	clearResult();  	non-compiled	[CE]  cannot  find  symbol	5	None	replace
164	[BUG]  [BUGGY]    min  =  UnivariateRealSolverUtils.midpoint(min,max);  max  =  m;  [CE]  cannot  find  symbol  m  [CONTEXT]    [BUGGY]    min  =  UnivariateRealSolverUtils.midpoint(min,max);  max  =  m;  [BUGGY]  clearResult();  verifyInterval(min,max);  double  m;  double  fm;  double  fmin;  int  i  =  0;  while  (i  <  maximalIterationCount)  {  m  =  UnivariateRealSolverUtils.midpoint(min,  max);  fmin  =  f.value(min);  fm  =  f.value(m);  [CLASS]  BisectionSolver  [METHOD]  solve  [RETURN_TYPE]  double  UnivariateRealFunction  f  double  min  double  max  	projects/Math70/src/main/java/org/apache/commons/math/analysis/solvers/BisectionSolver.java	0.5	79	79	1	replace	    min  =  UnivariateRealSolverUtils.midpoint(min,max);  max  =  m;		non-compiled	[CE]  cannot  find  symbol  m	6	None	add
182	[BUG]  [BUGGY]  validateInterval(min,max);  [CE]  cannot  find  symbol  [CONTEXT]    [BUGGY]  validateInterval(min,max);  [BUGGY]  double  m;  double  fm;  double  fmin;  int  i  =  0;  while  (i  <  maximalIterationCount)  {  m  =  UnivariateRealSolverUtils.midpoint(min,  max);  fmin  =  f.value(min);  fm  =  f.value(m);  [CLASS]  BisectionSolver  [METHOD]  solve  [RETURN_TYPE]  double  UnivariateRealFunction  f  double  min  double  max  	projects/Math70/src/main/java/org/apache/commons/math/analysis/solvers/BisectionSolver.java	0.5	80	80	1	replace	validateInterval(min,max);	verifyInterval(min,max);  	non-compiled	[CE]  cannot  find  symbol	7	None	replace
184	[BUG]  [BUGGY]  setResult(min,max);  [CE]  no  suitable  method  found  for  setResult(double,double)  [CONTEXT]    [BUGGY]  setResult(min,max);  [BUGGY]  double  m;  double  fm;  double  fmin;  int  i  =  0;  while  (i  <  maximalIterationCount)  {  m  =  UnivariateRealSolverUtils.midpoint(min,  max);  fmin  =  f.value(min);  fm  =  f.value(m);  [CLASS]  BisectionSolver  [METHOD]  solve  [RETURN_TYPE]  double  UnivariateRealFunction  f  double  min  double  max  	projects/Math70/src/main/java/org/apache/commons/math/analysis/solvers/BisectionSolver.java	0.5	80	80	1	replace	setResult(min,max);	verifyInterval(min,max);  	non-compiled	[CE]  no  suitable  method  found  for  setResult(double,double)	7	None	replace
203	[BUG]  [BUGGY]    for(int  i  =  0;  i  <  maximalIterationCount;  i++)  {  if(fm  *  fmin  >  0.0)  {  min  =  UnivariateRealSolverUtils.midpoint(min,  max);  }  [CE]  reached  end  of  file  while  parsing  [CONTEXT]    [BUGGY]    for(int  i  =  0;  i  <  maximalIterationCount;  i++)  {  if(fm  *  fmin  >  0.0)  {  min  =  UnivariateRealSolverUtils.midpoint(min,  max);  }  [BUGGY]  while  (i  <  maximalIterationCount)  {  m  =  UnivariateRealSolverUtils.midpoint(min,  max);  fmin  =  f.value(min);  fm  =  f.value(m);  if  (fm  *  fmin  >  0.0)  {  min  =  m;  }  else  {  max  =  m;  [CLASS]  BisectionSolver  [METHOD]  solve  [RETURN_TYPE]  double  UnivariateRealFunction  f  double  min  double  max  	projects/Math70/src/main/java/org/apache/commons/math/analysis/solvers/BisectionSolver.java	0.5	86	86	1	replace	    for(int  i  =  0;  i  <  maximalIterationCount;  i++)  {  if(fm  *  fmin  >  0.0)  {  min  =  UnivariateRealSolverUtils.midpoint(min,  max);  }		non-compiled	[CE]  reached  end  of  file  while  parsing	12	None	add
204	[BUG]  [BUGGY]    for(int  i  =  0;  i  <  maximalIterationCount;  i++)  {  if(fm  *  fmin  >  0.0)  {  max  =  UnivariateRealSolverUtils.midpoint(min,  max);  }  [CE]  reached  end  of  file  while  parsing  [CONTEXT]    [BUGGY]    for(int  i  =  0;  i  <  maximalIterationCount;  i++)  {  if(fm  *  fmin  >  0.0)  {  max  =  UnivariateRealSolverUtils.midpoint(min,  max);  }  [BUGGY]  while  (i  <  maximalIterationCount)  {  m  =  UnivariateRealSolverUtils.midpoint(min,  max);  fmin  =  f.value(min);  fm  =  f.value(m);  if  (fm  *  fmin  >  0.0)  {  min  =  m;  }  else  {  max  =  m;  [CLASS]  BisectionSolver  [METHOD]  solve  [RETURN_TYPE]  double  UnivariateRealFunction  f  double  min  double  max  	projects/Math70/src/main/java/org/apache/commons/math/analysis/solvers/BisectionSolver.java	0.5	86	86	1	replace	    for(int  i  =  0;  i  <  maximalIterationCount;  i++)  {  if(fm  *  fmin  >  0.0)  {  max  =  UnivariateRealSolverUtils.midpoint(min,  max);  }		non-compiled	[CE]  reached  end  of  file  while  parsing	12	None	add
205	[BUG]  [BUGGY]    for(int  i  =  0;  i  <  maximalIterationCount;  i++)  {  if(fmin  *  fmin  >  0.0)  {  min  =  UnivariateRealSolverUtils.midpoint(min,  max);  }  [CE]  reached  end  of  file  while  parsing  [CONTEXT]    [BUGGY]    for(int  i  =  0;  i  <  maximalIterationCount;  i++)  {  if(fmin  *  fmin  >  0.0)  {  min  =  UnivariateRealSolverUtils.midpoint(min,  max);  }  [BUGGY]  while  (i  <  maximalIterationCount)  {  m  =  UnivariateRealSolverUtils.midpoint(min,  max);  fmin  =  f.value(min);  fm  =  f.value(m);  if  (fm  *  fmin  >  0.0)  {  min  =  m;  }  else  {  max  =  m;  [CLASS]  BisectionSolver  [METHOD]  solve  [RETURN_TYPE]  double  UnivariateRealFunction  f  double  min  double  max  	projects/Math70/src/main/java/org/apache/commons/math/analysis/solvers/BisectionSolver.java	0.5	86	86	1	replace	    for(int  i  =  0;  i  <  maximalIterationCount;  i++)  {  if(fmin  *  fmin  >  0.0)  {  min  =  UnivariateRealSolverUtils.midpoint(min,  max);  }		non-compiled	[CE]  reached  end  of  file  while  parsing	12	None	add
224	[BUG]  [BUGGY]    fmin  =  UnivariateRealSolverUtils.midpoint(min,  max);  max  =  fm;  [CE]  variable  fm  might  not  have  been  initialized  [CONTEXT]    [BUGGY]    fmin  =  UnivariateRealSolverUtils.midpoint(min,  max);  max  =  fm;  [BUGGY]  int  i  =  0;  while  (i  <  maximalIterationCount)  {  m  =  UnivariateRealSolverUtils.midpoint(min,  max);  fmin  =  f.value(min);  fm  =  f.value(m);  if  (fm  *  fmin  >  0.0)  {  min  =  m;  }  else  {  [CLASS]  BisectionSolver  [METHOD]  solve  [RETURN_TYPE]  double  UnivariateRealFunction  f  double  min  double  max  	projects/Math70/src/main/java/org/apache/commons/math/analysis/solvers/BisectionSolver.java	0.5	85	85	1	replace	    fmin  =  UnivariateRealSolverUtils.midpoint(min,  max);  max  =  fm;		non-compiled	[CE]  variable  fm  might  not  have  been  initialized	10	None	add
225	[BUG]  [BUGGY]    double  min  =  UnivariateRealSolverUtils.midpoint(min,  max);  [CE]  variable  min  is  already  defined  in  method  solve(UnivariateRealFunction,double,double)  [CONTEXT]    [BUGGY]    double  min  =  UnivariateRealSolverUtils.midpoint(min,  max);  [BUGGY]  int  i  =  0;  while  (i  <  maximalIterationCount)  {  m  =  UnivariateRealSolverUtils.midpoint(min,  max);  fmin  =  f.value(min);  fm  =  f.value(m);  if  (fm  *  fmin  >  0.0)  {  min  =  m;  }  else  {  [CLASS]  BisectionSolver  [METHOD]  solve  [RETURN_TYPE]  double  UnivariateRealFunction  f  double  min  double  max  	projects/Math70/src/main/java/org/apache/commons/math/analysis/solvers/BisectionSolver.java	0.5	85	85	1	replace	    double  min  =  UnivariateRealSolverUtils.midpoint(min,  max);		non-compiled	[CE]  variable  min  is  already  defined  in  method  solve(UnivariateRealFunction,double,double)	10	None	add
244	[BUG]  [BUGGY]  return  resolve(min,  max);  [CE]  cannot  find  symbol  [CONTEXT]    [BUGGY]  return  resolve(min,  max);  [BUGGY]  }  [CLASS]  BisectionSolver  [METHOD]  solve  [RETURN_TYPE]  double  double  min  double  max  	projects/Math70/src/main/java/org/apache/commons/math/analysis/solvers/BisectionSolver.java	0.7071067811865475	66	66	1	replace	return  resolve(min,  max);	return  solve(f,  min,  max);  	non-compiled	[CE]  cannot  find  symbol	3	None	replace
262	[BUG]  [BUGGY]    int  min  =  UnivariateRealSolverUtils.midpoint(min,max);  [CE]  variable  min  is  already  defined  in  method  solve(UnivariateRealFunction,double,double)  [CONTEXT]    [BUGGY]    int  min  =  UnivariateRealSolverUtils.midpoint(min,max);  [BUGGY]  verifyInterval(min,max);  double  m;  double  fm;  double  fmin;  int  i  =  0;  while  (i  <  maximalIterationCount)  {  m  =  UnivariateRealSolverUtils.midpoint(min,  max);  fmin  =  f.value(min);  fm  =  f.value(m);  [CLASS]  BisectionSolver  [METHOD]  solve  [RETURN_TYPE]  double  UnivariateRealFunction  f  double  min  double  max  	projects/Math70/src/main/java/org/apache/commons/math/analysis/solvers/BisectionSolver.java	0.5	80	80	1	replace	    int  min  =  UnivariateRealSolverUtils.midpoint(min,max);		non-compiled	[CE]  variable  min  is  already  defined  in  method  solve(UnivariateRealFunction,double,double)	8	None	add
263	[BUG]  [BUGGY]    fmin  =  UnivariateRealSolverUtils.midpoint(min,max);  [CE]  cannot  find  symbol  fmin  [CONTEXT]    [BUGGY]    fmin  =  UnivariateRealSolverUtils.midpoint(min,max);  [BUGGY]  verifyInterval(min,max);  double  m;  double  fm;  double  fmin;  int  i  =  0;  while  (i  <  maximalIterationCount)  {  m  =  UnivariateRealSolverUtils.midpoint(min,  max);  fmin  =  f.value(min);  fm  =  f.value(m);  [CLASS]  BisectionSolver  [METHOD]  solve  [RETURN_TYPE]  double  UnivariateRealFunction  f  double  min  double  max  	projects/Math70/src/main/java/org/apache/commons/math/analysis/solvers/BisectionSolver.java	0.5	80	80	1	replace	    fmin  =  UnivariateRealSolverUtils.midpoint(min,max);		non-compiled	[CE]  cannot  find  symbol  fmin	8	None	add
264	[BUG]  [BUGGY]    min  =  UnivariateRealSolverUtils.midpoint(min,max);  max  =  m;  [CE]  cannot  find  symbol  m  [CONTEXT]    [BUGGY]    min  =  UnivariateRealSolverUtils.midpoint(min,max);  max  =  m;  [BUGGY]  verifyInterval(min,max);  double  m;  double  fm;  double  fmin;  int  i  =  0;  while  (i  <  maximalIterationCount)  {  m  =  UnivariateRealSolverUtils.midpoint(min,  max);  fmin  =  f.value(min);  fm  =  f.value(m);  [CLASS]  BisectionSolver  [METHOD]  solve  [RETURN_TYPE]  double  UnivariateRealFunction  f  double  min  double  max  	projects/Math70/src/main/java/org/apache/commons/math/analysis/solvers/BisectionSolver.java	0.5	80	80	1	replace	    min  =  UnivariateRealSolverUtils.midpoint(min,max);  max  =  m;		non-compiled	[CE]  cannot  find  symbol  m	8	None	add
